setid,"Temperature, K","Solvent: MolaLity of 2-hydroxy-N,N,N-trimethylethanaminium hexanoate, mol/kg","MolaLity of 2-aminoacetic acid, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
MSoql,293.15,0.05,0.0571,100,1000.8,Panda et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water
MSoql,293.15,0.05,0.1084,100,1002.5,Panda et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water
MSoql,293.15,0.05,0.1544,100,1003.9,Panda et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water
MSoql,293.15,0.05,0.2147,100,1005.9,Panda et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water
MSoql,293.15,0.05,0.2582,100,1007.2,Panda et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water
MSoql,293.15,0.05,0.3036,100,1008.7,Panda et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water
MSoql,293.15,0.05,0.3528,100,1010.2,Panda et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water
MSoql,293.15,0.05,0.3955,100,1011.5,Panda et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water
MSoql,293.15,0.05,0.4513,100,1013.2,Panda et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water
MSoql,293.15,0.05,0.5036,100,1014.8,Panda et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water
MSoql,293.15,0.1,0.0498,100,1001,Panda et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water
MSoql,293.15,0.1,0.1002,100,1002.6,Panda et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water
MSoql,293.15,0.1,0.1532,100,1004.3,Panda et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water
