setid,Solvent: Mole fraction of acetonitrile,"MolaLity of 1-hexyl-3-methyl-1H-imidazolium bromide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XUhzX,0.1,0.00817,293.15,101,983.6,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.1,0.00817,303.15,101,979.1,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.1,0.00817,313.15,101,974,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.1,0.01534,293.15,101,984,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.1,0.01534,303.15,101,979.5,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.1,0.01534,313.15,101,974.3,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.1,0.02047,293.15,101,984.2,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.1,0.02047,303.15,101,979.7,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.1,0.02047,313.15,101,974.5,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.1,0.02562,293.15,101,984.5,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
