setid,"Solvent: Mole fraction of 2,6-dimethylpyridine",Mole ratio to solvent: 1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
cuwXf,0.03,0,273.15,101,1003.63,Marczak et al. (2013),Density,Liquid,AAUfJj,Cc1cccc(C)n1,"2,6-dimethylpyridine",AADYJk,O,water,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
cuwXf,0.03,0,273.15,101,1003.66,Marczak et al. (2013),Density,Liquid,AAUfJj,Cc1cccc(C)n1,"2,6-dimethylpyridine",AADYJk,O,water,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
cuwXf,0.03,0,278.15,101,1002.52,Marczak et al. (2013),Density,Liquid,AAUfJj,Cc1cccc(C)n1,"2,6-dimethylpyridine",AADYJk,O,water,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
cuwXf,0.03,0,278.15,101,1002.54,Marczak et al. (2013),Density,Liquid,AAUfJj,Cc1cccc(C)n1,"2,6-dimethylpyridine",AADYJk,O,water,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
cuwXf,0.03,0,283.14,101,1001.14,Marczak et al. (2013),Density,Liquid,AAUfJj,Cc1cccc(C)n1,"2,6-dimethylpyridine",AADYJk,O,water,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
cuwXf,0.03,0,283.15,101,1001.14,Marczak et al. (2013),Density,Liquid,AAUfJj,Cc1cccc(C)n1,"2,6-dimethylpyridine",AADYJk,O,water,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
cuwXf,0.03,0,288.15,101,999.515,Marczak et al. (2013),Density,Liquid,AAUfJj,Cc1cccc(C)n1,"2,6-dimethylpyridine",AADYJk,O,water,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
cuwXf,0.03,0,288.15,101,999.517,Marczak et al. (2013),Density,Liquid,AAUfJj,Cc1cccc(C)n1,"2,6-dimethylpyridine",AADYJk,O,water,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
cuwXf,0.03,0,293.15,101,997.665,Marczak et al. (2013),Density,Liquid,AAUfJj,Cc1cccc(C)n1,"2,6-dimethylpyridine",AADYJk,O,water,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
cuwXf,0.03,0,293.15,101,997.673,Marczak et al. (2013),Density,Liquid,AAUfJj,Cc1cccc(C)n1,"2,6-dimethylpyridine",AADYJk,O,water,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
