setid,"Temperature, K","Pressure, kPa",Mole ratio to solvent: 2-hydroxypropanoic acid,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
CUgcD,293.15,101,3,1121,Basaiahgari et al. (2017),Density,Liquid,AARQjp,CC(O)C(=O)O,2-hydroxypropanoic acid,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,
CUgcD,298.15,101,3,1117,Basaiahgari et al. (2017),Density,Liquid,AARQjp,CC(O)C(=O)O,2-hydroxypropanoic acid,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,
CUgcD,303.15,101,3,1113,Basaiahgari et al. (2017),Density,Liquid,AARQjp,CC(O)C(=O)O,2-hydroxypropanoic acid,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,
CUgcD,308.15,101,3,1110,Basaiahgari et al. (2017),Density,Liquid,AARQjp,CC(O)C(=O)O,2-hydroxypropanoic acid,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,
CUgcD,313.15,101,3,1106,Basaiahgari et al. (2017),Density,Liquid,AARQjp,CC(O)C(=O)O,2-hydroxypropanoic acid,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,
CUgcD,318.15,101,3,1103,Basaiahgari et al. (2017),Density,Liquid,AARQjp,CC(O)C(=O)O,2-hydroxypropanoic acid,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,
CUgcD,323.15,101,3,1099,Basaiahgari et al. (2017),Density,Liquid,AARQjp,CC(O)C(=O)O,2-hydroxypropanoic acid,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,
CUgcD,328.15,101,3,1096,Basaiahgari et al. (2017),Density,Liquid,AARQjp,CC(O)C(=O)O,2-hydroxypropanoic acid,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,
CUgcD,333.15,101,3,1092,Basaiahgari et al. (2017),Density,Liquid,AARQjp,CC(O)C(=O)O,2-hydroxypropanoic acid,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,
CUgcD,338.15,101,3,1089,Basaiahgari et al. (2017),Density,Liquid,AARQjp,CC(O)C(=O)O,2-hydroxypropanoic acid,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,
CUgcD,343.15,101,3,1085,Basaiahgari et al. (2017),Density,Liquid,AARQjp,CC(O)C(=O)O,2-hydroxypropanoic acid,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,
