setid,"Temperature, K","MolaLity of 1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
uzoMW,288.15,0.0349,101,1080.8,Liu et al. (2020d),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
uzoMW,288.15,0.0403,101,1081.5,Liu et al. (2020d),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
uzoMW,288.15,0.0521,101,1082.9,Liu et al. (2020d),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
uzoMW,288.15,0.0574,101,1083.6,Liu et al. (2020d),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
uzoMW,288.15,0.0842,101,1086.8,Liu et al. (2020d),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
uzoMW,288.15,0.0948,101,1088,Liu et al. (2020d),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
uzoMW,288.15,0.114,101,1090.2,Liu et al. (2020d),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
uzoMW,288.15,0.1173,101,1090.7,Liu et al. (2020d),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
uzoMW,288.15,0.1312,101,1092.3,Liu et al. (2020d),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
uzoMW,288.15,0.1589,101,1095.4,Liu et al. (2020d),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
uzoMW,288.15,0.1737,101,1097.1,Liu et al. (2020d),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
uzoMW,288.15,0.1781,101,1097.5,Liu et al. (2020d),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
uzoMW,288.15,0.1835,101,1098.2,Liu et al. (2020d),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
uzoMW,288.15,0.1925,101,1099.1,Liu et al. (2020d),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
uzoMW,288.15,0.2205,101,1102.2,Liu et al. (2020d),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
uzoMW,288.15,0.223,101,1102.5,Liu et al. (2020d),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
uzoMW,288.15,0.2704,101,1107.5,Liu et al. (2020d),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
uzoMW,288.15,0.2744,101,1107.9,Liu et al. (2020d),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
uzoMW,288.15,0.3051,101,1111,Liu et al. (2020d),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
uzoMW,288.15,0.3101,101,1111.5,Liu et al. (2020d),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
uzoMW,288.15,0.3799,101,1118.6,Liu et al. (2020d),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
uzoMW,288.15,0.4139,101,1121.9,Liu et al. (2020d),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
uzoMW,288.15,0.4283,101,1123.3,Liu et al. (2020d),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
uzoMW,288.15,0.4686,101,1127.1,Liu et al. (2020d),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
uzoMW,288.15,0.5706,101,1136.3,Liu et al. (2020d),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
uzoMW,293.15,0.0349,101,1074.2,Liu et al. (2020d),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
uzoMW,293.15,0.0403,101,1075,Liu et al. (2020d),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
uzoMW,293.15,0.0521,101,1076.4,Liu et al. (2020d),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
uzoMW,293.15,0.0574,101,1077.1,Liu et al. (2020d),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
uzoMW,293.15,0.0842,101,1080.3,Liu et al. (2020d),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
uzoMW,293.15,0.0948,101,1081.5,Liu et al. (2020d),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
uzoMW,293.15,0.114,101,1083.8,Liu et al. (2020d),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
uzoMW,293.15,0.1173,101,1084.2,Liu et al. (2020d),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
uzoMW,293.15,0.1312,101,1085.9,Liu et al. (2020d),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
uzoMW,293.15,0.1589,101,1089,Liu et al. (2020d),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
uzoMW,293.15,0.1737,101,1090.7,Liu et al. (2020d),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
uzoMW,293.15,0.1781,101,1091,Liu et al. (2020d),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
uzoMW,293.15,0.1835,101,1091.7,Liu et al. (2020d),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
uzoMW,293.15,0.1925,101,1092.7,Liu et al. (2020d),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
uzoMW,293.15,0.2205,101,1095.8,Liu et al. (2020d),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
uzoMW,293.15,0.223,101,1096.1,Liu et al. (2020d),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
uzoMW,293.15,0.2704,101,1101.2,Liu et al. (2020d),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
