setid,Weight fraction of 1-butyl-3-methylimidazolium tetrafluoroborate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
rIpCs,0,298.15,101,785.36,Tian et al. (2008),Density,Liquid,AALIPU,CC(C)=O,acetone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
rIpCs,0.1724,298.15,101,846.15,Tian et al. (2008),Density,Liquid,AALIPU,CC(C)=O,acetone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
rIpCs,0.3033,298.15,101,894.4,Tian et al. (2008),Density,Liquid,AALIPU,CC(C)=O,acetone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
rIpCs,0.495,298.15,101,970.3,Tian et al. (2008),Density,Liquid,AALIPU,CC(C)=O,acetone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
rIpCs,0.6276,298.15,101,1027,Tian et al. (2008),Density,Liquid,AALIPU,CC(C)=O,acetone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
rIpCs,0.677,298.15,101,1048.9,Tian et al. (2008),Density,Liquid,AALIPU,CC(C)=O,acetone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
rIpCs,0.7197,298.15,101,1068.3,Tian et al. (2008),Density,Liquid,AALIPU,CC(C)=O,acetone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
rIpCs,0.7603,298.15,101,1086.2,Tian et al. (2008),Density,Liquid,AALIPU,CC(C)=O,acetone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
rIpCs,0.7933,298.15,101,1102.5,Tian et al. (2008),Density,Liquid,AALIPU,CC(C)=O,acetone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
rIpCs,0.8267,298.15,101,1118.4,Tian et al. (2008),Density,Liquid,AALIPU,CC(C)=O,acetone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
rIpCs,0.8536,298.15,101,1131.4,Tian et al. (2008),Density,Liquid,AALIPU,CC(C)=O,acetone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
rIpCs,0.9024,298.15,101,1155.3,Tian et al. (2008),Density,Liquid,AALIPU,CC(C)=O,acetone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
rIpCs,0.939,298.15,101,1174.3,Tian et al. (2008),Density,Liquid,AALIPU,CC(C)=O,acetone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
rIpCs,0.9707,298.15,101,1193,Tian et al. (2008),Density,Liquid,AALIPU,CC(C)=O,acetone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
rIpCs,1,298.15,101,1211,Tian et al. (2008),Density,Liquid,AALIPU,CC(C)=O,acetone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
