setid,"MolaLity of 1,3-dimethylimidazolium methylsulfate, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JdrFJ,0.01,293.15,101,964.9,Dutta et al. (2018),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
JdrFJ,0.01,303.15,101,955.9,Dutta et al. (2018),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
JdrFJ,0.01,313.15,101,946.6,Dutta et al. (2018),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
JdrFJ,0.025,293.15,101,965.5,Dutta et al. (2018),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
JdrFJ,0.025,303.15,101,956.4,Dutta et al. (2018),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
JdrFJ,0.025,313.15,101,947.2,Dutta et al. (2018),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
JdrFJ,0.04,293.15,101,966.1,Dutta et al. (2018),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
JdrFJ,0.04,303.15,101,957,Dutta et al. (2018),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
JdrFJ,0.04,313.15,101,947.9,Dutta et al. (2018),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
JdrFJ,0.055,293.15,101,966.8,Dutta et al. (2018),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
JdrFJ,0.055,303.15,101,957.7,Dutta et al. (2018),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
JdrFJ,0.055,313.15,101,948.5,Dutta et al. (2018),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
JdrFJ,0.07,293.15,101,967.5,Dutta et al. (2018),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
JdrFJ,0.07,303.15,101,958.5,Dutta et al. (2018),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
JdrFJ,0.07,313.15,101,949.2,Dutta et al. (2018),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
JdrFJ,0.085,293.15,101,968.2,Dutta et al. (2018),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
JdrFJ,0.085,303.15,101,959.2,Dutta et al. (2018),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
JdrFJ,0.085,313.15,101,950,Dutta et al. (2018),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
