setid,"Temperature, K",Mole fraction of 2-hydroxyethylammonium lactate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
UQoku,293.15,0,101,791.15,Kurnia et al. (2011b),Density,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,
UQoku,293.15,0.0557,101,864.84,Kurnia et al. (2011b),Density,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,
UQoku,293.15,0.1024,101,914.38,Kurnia et al. (2011b),Density,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,
UQoku,293.15,0.2136,101,1002.12,Kurnia et al. (2011b),Density,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,
UQoku,293.15,0.3015,101,1051,Kurnia et al. (2011b),Density,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,
UQoku,293.15,0.4024,101,1093.16,Kurnia et al. (2011b),Density,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,
UQoku,293.15,0.5151,101,1128.84,Kurnia et al. (2011b),Density,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,
UQoku,293.15,0.6009,101,1150.62,Kurnia et al. (2011b),Density,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,
UQoku,293.15,0.6945,101,1170.5,Kurnia et al. (2011b),Density,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,
UQoku,293.15,0.8031,101,1189.6,Kurnia et al. (2011b),Density,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,
UQoku,293.15,0.9056,101,1204.1,Kurnia et al. (2011b),Density,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,
UQoku,293.15,0.9607,101,1210.5,Kurnia et al. (2011b),Density,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,
UQoku,293.15,1,101,1214.5,Kurnia et al. (2011b),Density,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,
UQoku,298.15,0,101,786.45,Kurnia et al. (2011b),Density,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,
UQoku,298.15,0.0557,101,860.32,Kurnia et al. (2011b),Density,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,
UQoku,298.15,0.1024,101,909.99,Kurnia et al. (2011b),Density,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,
UQoku,298.15,0.2136,101,997.9,Kurnia et al. (2011b),Density,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,
UQoku,298.15,0.3015,101,1046.84,Kurnia et al. (2011b),Density,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,
UQoku,298.15,0.4024,101,1089.03,Kurnia et al. (2011b),Density,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,
UQoku,298.15,0.5151,101,1124.74,Kurnia et al. (2011b),Density,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,
UQoku,298.15,0.6009,101,1146.55,Kurnia et al. (2011b),Density,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,
