setid,"Temperature, K","MolaLity of N-ethyl-N-methylpiperidinium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FIgvl,293.15,0.2501,101,1009.34,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,,,
FIgvl,293.15,0.5,101,1019.49,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,,,
FIgvl,293.15,0.75,101,1029.24,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,,,
FIgvl,293.15,0.9992,101,1038.65,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,,,
FIgvl,293.15,1.25,101,1047.4,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,,,
FIgvl,293.15,1.4999,101,1055.5,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,,,
FIgvl,293.15,1.7499,101,1063.82,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,,,
FIgvl,293.15,1.9984,101,1071.67,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,,,
FIgvl,293.15,2.2001,101,1077.12,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,,,
FIgvl,293.15,2.4001,101,1082.45,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,,,
FIgvl,298.15,0.2501,101,1007.59,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,,,
FIgvl,298.15,0.5,101,1017.73,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,,,
