setid,"MolaLity of 1-ethyl-3-methylimidazolium thyminide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
xlMZM,0,94.4,298.15,997.05,Gavhane et al. (2022),Density,Liquid,AAtWtN,[N-]1C(=O)NC(=O)C(C)=C1.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium thyminide,AADYJk,O,water,,,
xlMZM,0.0209,94.4,298.15,998.07,Gavhane et al. (2022),Density,Liquid,AAtWtN,[N-]1C(=O)NC(=O)C(C)=C1.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium thyminide,AADYJk,O,water,,,
xlMZM,0.0277,94.4,298.15,998.4,Gavhane et al. (2022),Density,Liquid,AAtWtN,[N-]1C(=O)NC(=O)C(C)=C1.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium thyminide,AADYJk,O,water,,,
xlMZM,0.0631,94.4,298.15,1000.11,Gavhane et al. (2022),Density,Liquid,AAtWtN,[N-]1C(=O)NC(=O)C(C)=C1.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium thyminide,AADYJk,O,water,,,
xlMZM,0.1257,94.4,298.15,1003.07,Gavhane et al. (2022),Density,Liquid,AAtWtN,[N-]1C(=O)NC(=O)C(C)=C1.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium thyminide,AADYJk,O,water,,,
xlMZM,0.1639,94.4,298.15,1004.87,Gavhane et al. (2022),Density,Liquid,AAtWtN,[N-]1C(=O)NC(=O)C(C)=C1.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium thyminide,AADYJk,O,water,,,
xlMZM,0.2452,94.4,298.15,1008.62,Gavhane et al. (2022),Density,Liquid,AAtWtN,[N-]1C(=O)NC(=O)C(C)=C1.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium thyminide,AADYJk,O,water,,,
xlMZM,0.2918,94.4,298.15,1010.73,Gavhane et al. (2022),Density,Liquid,AAtWtN,[N-]1C(=O)NC(=O)C(C)=C1.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium thyminide,AADYJk,O,water,,,
xlMZM,0.329,94.4,298.15,1012.43,Gavhane et al. (2022),Density,Liquid,AAtWtN,[N-]1C(=O)NC(=O)C(C)=C1.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium thyminide,AADYJk,O,water,,,
xlMZM,0.4445,94.4,298.15,1017.48,Gavhane et al. (2022),Density,Liquid,AAtWtN,[N-]1C(=O)NC(=O)C(C)=C1.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium thyminide,AADYJk,O,water,,,
xlMZM,0.5274,94.4,298.15,1020.92,Gavhane et al. (2022),Density,Liquid,AAtWtN,[N-]1C(=O)NC(=O)C(C)=C1.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium thyminide,AADYJk,O,water,,,
xlMZM,0.6277,94.4,298.15,1025.07,Gavhane et al. (2022),Density,Liquid,AAtWtN,[N-]1C(=O)NC(=O)C(C)=C1.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium thyminide,AADYJk,O,water,,,
xlMZM,0.7303,94.4,298.15,1029,Gavhane et al. (2022),Density,Liquid,AAtWtN,[N-]1C(=O)NC(=O)C(C)=C1.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium thyminide,AADYJk,O,water,,,
xlMZM,0.8207,94.4,298.15,1032.5,Gavhane et al. (2022),Density,Liquid,AAtWtN,[N-]1C(=O)NC(=O)C(C)=C1.C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium thyminide,AADYJk,O,water,,,
