setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium taurate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
hyPzl,293.15,0,100,998.2,Tot et al. (2016),Density,Liquid,AADYJk,O,water,AAyhgg,CCCC[n+]1ccn(C)c1.NCCS(=O)(=O)[O-],1-butyl-3-methylimidazolium taurate,,,
hyPzl,293.15,0.00511,100,998.4,Tot et al. (2016),Density,Liquid,AADYJk,O,water,AAyhgg,CCCC[n+]1ccn(C)c1.NCCS(=O)(=O)[O-],1-butyl-3-methylimidazolium taurate,,,
hyPzl,293.15,0.00752,100,998.5,Tot et al. (2016),Density,Liquid,AADYJk,O,water,AAyhgg,CCCC[n+]1ccn(C)c1.NCCS(=O)(=O)[O-],1-butyl-3-methylimidazolium taurate,,,
hyPzl,293.15,0.00917,100,998.5,Tot et al. (2016),Density,Liquid,AADYJk,O,water,AAyhgg,CCCC[n+]1ccn(C)c1.NCCS(=O)(=O)[O-],1-butyl-3-methylimidazolium taurate,,,
hyPzl,293.15,0.01078,100,998.6,Tot et al. (2016),Density,Liquid,AADYJk,O,water,AAyhgg,CCCC[n+]1ccn(C)c1.NCCS(=O)(=O)[O-],1-butyl-3-methylimidazolium taurate,,,
hyPzl,293.15,0.01261,100,998.7,Tot et al. (2016),Density,Liquid,AADYJk,O,water,AAyhgg,CCCC[n+]1ccn(C)c1.NCCS(=O)(=O)[O-],1-butyl-3-methylimidazolium taurate,,,
hyPzl,293.15,0.01552,100,998.8,Tot et al. (2016),Density,Liquid,AADYJk,O,water,AAyhgg,CCCC[n+]1ccn(C)c1.NCCS(=O)(=O)[O-],1-butyl-3-methylimidazolium taurate,,,
hyPzl,293.15,0.01938,100,999,Tot et al. (2016),Density,Liquid,AADYJk,O,water,AAyhgg,CCCC[n+]1ccn(C)c1.NCCS(=O)(=O)[O-],1-butyl-3-methylimidazolium taurate,,,
hyPzl,293.15,0.02239,100,999.2,Tot et al. (2016),Density,Liquid,AADYJk,O,water,AAyhgg,CCCC[n+]1ccn(C)c1.NCCS(=O)(=O)[O-],1-butyl-3-methylimidazolium taurate,,,
hyPzl,293.15,0.02555,100,999.3,Tot et al. (2016),Density,Liquid,AADYJk,O,water,AAyhgg,CCCC[n+]1ccn(C)c1.NCCS(=O)(=O)[O-],1-butyl-3-methylimidazolium taurate,,,
hyPzl,293.15,0.02746,100,999.4,Tot et al. (2016),Density,Liquid,AADYJk,O,water,AAyhgg,CCCC[n+]1ccn(C)c1.NCCS(=O)(=O)[O-],1-butyl-3-methylimidazolium taurate,,,
hyPzl,298.15,0,100,997,Tot et al. (2016),Density,Liquid,AADYJk,O,water,AAyhgg,CCCC[n+]1ccn(C)c1.NCCS(=O)(=O)[O-],1-butyl-3-methylimidazolium taurate,,,
hyPzl,298.15,0.00511,100,997.2,Tot et al. (2016),Density,Liquid,AADYJk,O,water,AAyhgg,CCCC[n+]1ccn(C)c1.NCCS(=O)(=O)[O-],1-butyl-3-methylimidazolium taurate,,,
hyPzl,298.15,0.00752,100,997.2,Tot et al. (2016),Density,Liquid,AADYJk,O,water,AAyhgg,CCCC[n+]1ccn(C)c1.NCCS(=O)(=O)[O-],1-butyl-3-methylimidazolium taurate,,,
hyPzl,298.15,0.00917,100,997.3,Tot et al. (2016),Density,Liquid,AADYJk,O,water,AAyhgg,CCCC[n+]1ccn(C)c1.NCCS(=O)(=O)[O-],1-butyl-3-methylimidazolium taurate,,,
hyPzl,298.15,0.01078,100,997.4,Tot et al. (2016),Density,Liquid,AADYJk,O,water,AAyhgg,CCCC[n+]1ccn(C)c1.NCCS(=O)(=O)[O-],1-butyl-3-methylimidazolium taurate,,,
hyPzl,298.15,0.01261,100,997.4,Tot et al. (2016),Density,Liquid,AADYJk,O,water,AAyhgg,CCCC[n+]1ccn(C)c1.NCCS(=O)(=O)[O-],1-butyl-3-methylimidazolium taurate,,,
hyPzl,298.15,0.01552,100,997.6,Tot et al. (2016),Density,Liquid,AADYJk,O,water,AAyhgg,CCCC[n+]1ccn(C)c1.NCCS(=O)(=O)[O-],1-butyl-3-methylimidazolium taurate,,,
hyPzl,298.15,0.01938,100,997.7,Tot et al. (2016),Density,Liquid,AADYJk,O,water,AAyhgg,CCCC[n+]1ccn(C)c1.NCCS(=O)(=O)[O-],1-butyl-3-methylimidazolium taurate,,,
hyPzl,298.15,0.02239,100,997.9,Tot et al. (2016),Density,Liquid,AADYJk,O,water,AAyhgg,CCCC[n+]1ccn(C)c1.NCCS(=O)(=O)[O-],1-butyl-3-methylimidazolium taurate,,,
