setid,"Temperature, K","Pressure, kPa",Weight fraction of trimethylsulfonium bis(trifluoromethylsulfonyl)imide,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
yBHRv,278,101,0.5,1236.92,Xiong et al. (2021),Density,Liquid,ABQlBW,C[S+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trimethylsulfonium bis(trifluoromethylsulfonyl)imide,AASFLt,N#CCCCC#N,pentanedinitrile,,,
yBHRv,283,101,0.5,1232.51,Xiong et al. (2021),Density,Liquid,ABQlBW,C[S+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trimethylsulfonium bis(trifluoromethylsulfonyl)imide,AASFLt,N#CCCCC#N,pentanedinitrile,,,
yBHRv,288,101,0.5,1228.09,Xiong et al. (2021),Density,Liquid,ABQlBW,C[S+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trimethylsulfonium bis(trifluoromethylsulfonyl)imide,AASFLt,N#CCCCC#N,pentanedinitrile,,,
yBHRv,293,101,0.5,1223.66,Xiong et al. (2021),Density,Liquid,ABQlBW,C[S+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trimethylsulfonium bis(trifluoromethylsulfonyl)imide,AASFLt,N#CCCCC#N,pentanedinitrile,,,
yBHRv,298,101,0.5,1219.27,Xiong et al. (2021),Density,Liquid,ABQlBW,C[S+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trimethylsulfonium bis(trifluoromethylsulfonyl)imide,AASFLt,N#CCCCC#N,pentanedinitrile,,,
yBHRv,303,101,0.5,1214.91,Xiong et al. (2021),Density,Liquid,ABQlBW,C[S+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trimethylsulfonium bis(trifluoromethylsulfonyl)imide,AASFLt,N#CCCCC#N,pentanedinitrile,,,
yBHRv,308,101,0.5,1210.57,Xiong et al. (2021),Density,Liquid,ABQlBW,C[S+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trimethylsulfonium bis(trifluoromethylsulfonyl)imide,AASFLt,N#CCCCC#N,pentanedinitrile,,,
yBHRv,313,101,0.5,1206.29,Xiong et al. (2021),Density,Liquid,ABQlBW,C[S+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trimethylsulfonium bis(trifluoromethylsulfonyl)imide,AASFLt,N#CCCCC#N,pentanedinitrile,,,
yBHRv,318,101,0.5,1202.04,Xiong et al. (2021),Density,Liquid,ABQlBW,C[S+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trimethylsulfonium bis(trifluoromethylsulfonyl)imide,AASFLt,N#CCCCC#N,pentanedinitrile,,,
yBHRv,323,101,0.5,1197.7,Xiong et al. (2021),Density,Liquid,ABQlBW,C[S+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trimethylsulfonium bis(trifluoromethylsulfonyl)imide,AASFLt,N#CCCCC#N,pentanedinitrile,,,
yBHRv,328,101,0.5,1193.35,Xiong et al. (2021),Density,Liquid,ABQlBW,C[S+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trimethylsulfonium bis(trifluoromethylsulfonyl)imide,AASFLt,N#CCCCC#N,pentanedinitrile,,,
yBHRv,333,101,0.5,1188.98,Xiong et al. (2021),Density,Liquid,ABQlBW,C[S+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trimethylsulfonium bis(trifluoromethylsulfonyl)imide,AASFLt,N#CCCCC#N,pentanedinitrile,,,
yBHRv,338,101,0.5,1184.63,Xiong et al. (2021),Density,Liquid,ABQlBW,C[S+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trimethylsulfonium bis(trifluoromethylsulfonyl)imide,AASFLt,N#CCCCC#N,pentanedinitrile,,,
yBHRv,343,101,0.5,1180.27,Xiong et al. (2021),Density,Liquid,ABQlBW,C[S+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trimethylsulfonium bis(trifluoromethylsulfonyl)imide,AASFLt,N#CCCCC#N,pentanedinitrile,,,
yBHRv,348,101,0.5,1175.93,Xiong et al. (2021),Density,Liquid,ABQlBW,C[S+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trimethylsulfonium bis(trifluoromethylsulfonyl)imide,AASFLt,N#CCCCC#N,pentanedinitrile,,,
yBHRv,353,101,0.5,1171.66,Xiong et al. (2021),Density,Liquid,ABQlBW,C[S+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trimethylsulfonium bis(trifluoromethylsulfonyl)imide,AASFLt,N#CCCCC#N,pentanedinitrile,,,
