setid,"Temperature, K",Mole fraction of butylammonium acetate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZRQpq,293.15,0.0501,93.2,813.3,Bittencourt et al. (2018),Density,Liquid,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,AAIsrh,CCO,ethanol,,,
ZRQpq,293.15,0.0992,93.2,832.1,Bittencourt et al. (2018),Density,Liquid,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,AAIsrh,CCO,ethanol,,,
ZRQpq,293.15,0.15,93.2,848.5,Bittencourt et al. (2018),Density,Liquid,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,AAIsrh,CCO,ethanol,,,
ZRQpq,293.15,0.2001,93.2,862.4,Bittencourt et al. (2018),Density,Liquid,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,AAIsrh,CCO,ethanol,,,
ZRQpq,293.15,0.2511,93.2,874.7,Bittencourt et al. (2018),Density,Liquid,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,AAIsrh,CCO,ethanol,,,
ZRQpq,293.15,0.3001,93.2,885.2,Bittencourt et al. (2018),Density,Liquid,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,AAIsrh,CCO,ethanol,,,
ZRQpq,293.15,0.35,93.2,894.7,Bittencourt et al. (2018),Density,Liquid,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,AAIsrh,CCO,ethanol,,,
ZRQpq,293.15,0.3999,93.2,903.2,Bittencourt et al. (2018),Density,Liquid,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,AAIsrh,CCO,ethanol,,,
ZRQpq,293.15,0.4483,93.2,910.587,Bittencourt et al. (2018),Density,Liquid,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,AAIsrh,CCO,ethanol,,,
ZRQpq,293.15,0.4987,93.2,917.584,Bittencourt et al. (2018),Density,Liquid,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,AAIsrh,CCO,ethanol,,,
ZRQpq,293.15,0.5503,93.2,924.078,Bittencourt et al. (2018),Density,Liquid,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,AAIsrh,CCO,ethanol,,,
ZRQpq,293.15,0.6002,93.2,929.818,Bittencourt et al. (2018),Density,Liquid,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,AAIsrh,CCO,ethanol,,,
