setid,"Temperature, K","Pressure, kPa","MolaLity of cetylpyridinium chloride, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
YKctS,293.15,101,0.002,998.567,Chandra et al. (2013),Density,Liquid,ABNTke,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Cl-],cetylpyridinium chloride,AADYJk,O,water,,,
YKctS,298.15,101,0.002,997.407,Chandra et al. (2013),Density,Liquid,ABNTke,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Cl-],cetylpyridinium chloride,AADYJk,O,water,,,
YKctS,303.15,101,0.002,996.012,Chandra et al. (2013),Density,Liquid,ABNTke,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Cl-],cetylpyridinium chloride,AADYJk,O,water,,,
YKctS,308.15,101,0.002,994.387,Chandra et al. (2013),Density,Liquid,ABNTke,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Cl-],cetylpyridinium chloride,AADYJk,O,water,,,
