setid,"MolaLity of 1-butyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lLrCC,0,101,298.15,786.7,Wang et al. (2015),Density,Liquid,AAGIBL,CO,methanol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
lLrCC,0.0174,101,298.15,788.64,Wang et al. (2015),Density,Liquid,AAGIBL,CO,methanol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
lLrCC,0.0343,101,298.15,789.98,Wang et al. (2015),Density,Liquid,AAGIBL,CO,methanol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
lLrCC,0.0486,101,298.15,791.1,Wang et al. (2015),Density,Liquid,AAGIBL,CO,methanol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
lLrCC,0.1006,101,298.15,795.13,Wang et al. (2015),Density,Liquid,AAGIBL,CO,methanol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
lLrCC,0.1396,101,298.15,798.08,Wang et al. (2015),Density,Liquid,AAGIBL,CO,methanol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
lLrCC,0.1574,101,298.15,799.4,Wang et al. (2015),Density,Liquid,AAGIBL,CO,methanol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
lLrCC,0.1996,101,298.15,802.52,Wang et al. (2015),Density,Liquid,AAGIBL,CO,methanol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
lLrCC,0.2391,101,298.15,805.42,Wang et al. (2015),Density,Liquid,AAGIBL,CO,methanol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
lLrCC,0.3164,101,298.15,810.97,Wang et al. (2015),Density,Liquid,AAGIBL,CO,methanol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
lLrCC,0.399,101,298.15,816.71,Wang et al. (2015),Density,Liquid,AAGIBL,CO,methanol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
lLrCC,0.4955,101,298.15,823.29,Wang et al. (2015),Density,Liquid,AAGIBL,CO,methanol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
lLrCC,0.5945,101,298.15,829.82,Wang et al. (2015),Density,Liquid,AAGIBL,CO,methanol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
