setid,"MolaLity of tetraoctylammonium bromide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
rewLt,0.04557,298.15,101.3,944.41,Safonova et al. (2005),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACBIrh,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-],tetraoctylammonium bromide,,,
rewLt,0.05953,298.15,101.3,944.57,Safonova et al. (2005),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACBIrh,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-],tetraoctylammonium bromide,,,
rewLt,0.07812,298.15,101.3,944.76,Safonova et al. (2005),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACBIrh,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-],tetraoctylammonium bromide,,,
rewLt,0.10204,298.15,101.3,945.01,Safonova et al. (2005),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACBIrh,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-],tetraoctylammonium bromide,,,
rewLt,0.13002,298.15,101.3,945.26,Safonova et al. (2005),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACBIrh,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-],tetraoctylammonium bromide,,,
rewLt,0.16027,298.15,101.3,945.52,Safonova et al. (2005),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACBIrh,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-],tetraoctylammonium bromide,,,
rewLt,0.2025,298.15,101.3,945.84,Safonova et al. (2005),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACBIrh,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-],tetraoctylammonium bromide,,,
rewLt,0.2566,298.15,101.3,946.2,Safonova et al. (2005),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACBIrh,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-],tetraoctylammonium bromide,,,
rewLt,0.32945,298.15,101.3,946.68,Safonova et al. (2005),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACBIrh,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-],tetraoctylammonium bromide,,,
