setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium tetrafluoroborate,Mole fraction of acetic acid,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
GiHdZ,293.15,0.0398,0.5885,100,1060,Masilo et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
GiHdZ,293.15,0.0438,0.5468,100,1055,Masilo et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
GiHdZ,293.15,0.0545,0.4356,100,1057,Masilo et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
GiHdZ,293.15,0.065,0.3257,100,1041,Masilo et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
GiHdZ,293.15,0.0744,0.2308,100,1057,Masilo et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
GiHdZ,293.15,0.0861,0.109,100,1041,Masilo et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
GiHdZ,293.15,0.0964,0.7164,100,1054,Masilo et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
GiHdZ,293.15,0.1158,0.8459,100,1091,Masilo et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
GiHdZ,293.15,0.1733,0.49,100,1075,Masilo et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
GiHdZ,293.15,0.2064,0.3948,100,1082,Masilo et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
GiHdZ,293.15,0.2441,0.5454,100,1118,Masilo et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
GiHdZ,293.15,0.2676,0.2162,100,1089,Masilo et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
GiHdZ,293.15,0.2808,0.6258,100,1135,Masilo et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
GiHdZ,293.15,0.3466,0.3559,100,1137,Masilo et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
GiHdZ,293.15,0.3826,0.576,100,1137,Masilo et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
GiHdZ,293.15,0.4011,0.2534,100,1131,Masilo et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
GiHdZ,293.15,0.4082,0.4527,100,1152,Masilo et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
GiHdZ,293.15,0.4734,0.3746,100,1149,Masilo et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
GiHdZ,293.15,0.5528,0.2652,100,1162,Masilo et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
GiHdZ,293.15,0.6485,0.2802,100,1166,Masilo et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
GiHdZ,293.15,0.655,0.1326,100,1161,Masilo et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
GiHdZ,293.15,0.7731,0.1443,100,1175,Masilo et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
GiHdZ,293.15,0.8472,0.0594,100,1177,Masilo et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
GiHdZ,303.15,0.0398,0.5885,100,1050,Masilo et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
GiHdZ,303.15,0.0438,0.5468,100,1045,Masilo et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
GiHdZ,303.15,0.0545,0.4356,100,1049,Masilo et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
