setid,Mole fraction of 1-butyl-3-methylimidazolium methyl sulfate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FzUuZ,0.0341,298.15,101,1200,Iglesias-Otero et al. (2008a),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
FzUuZ,0.0854,298.15,101,1116,Iglesias-Otero et al. (2008a),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
FzUuZ,0.1079,298.15,101,1173,Iglesias-Otero et al. (2008a),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
FzUuZ,0.1946,298.15,101,1124,Iglesias-Otero et al. (2008a),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
FzUuZ,0.2446,298.15,101,1171,Iglesias-Otero et al. (2008a),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
FzUuZ,0.2999,298.15,101,1126,Iglesias-Otero et al. (2008a),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
FzUuZ,0.353,298.15,101,1165,Iglesias-Otero et al. (2008a),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
FzUuZ,0.4399,298.15,101,1138,Iglesias-Otero et al. (2008a),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
FzUuZ,0.5061,298.15,101,1150,Iglesias-Otero et al. (2008a),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
FzUuZ,0.5299,298.15,101,1190,Iglesias-Otero et al. (2008a),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
FzUuZ,0.636,298.15,101,1144,Iglesias-Otero et al. (2008a),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
FzUuZ,0.717,298.15,101,1156,Iglesias-Otero et al. (2008a),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
FzUuZ,0.8055,298.15,101,1180,Iglesias-Otero et al. (2008a),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
FzUuZ,0.907,298.15,101,1200,Iglesias-Otero et al. (2008a),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
