setid,"Pressure, kPa",Mole fraction of benzene,"Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
dBaCW,100,0.0999,313.2,1335,Qiao et al. (2011),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
dBaCW,100,0.0999,333.2,1317,Qiao et al. (2011),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
dBaCW,100,0.2002,313.2,1314,Qiao et al. (2011),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
dBaCW,100,0.2002,333.2,1296,Qiao et al. (2011),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
dBaCW,100,0.3003,313.2,1289,Qiao et al. (2011),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
dBaCW,100,0.3003,333.2,1272,Qiao et al. (2011),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
dBaCW,100,0.3953,313.2,1260,Qiao et al. (2011),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
dBaCW,100,0.3953,333.2,1242,Qiao et al. (2011),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
dBaCW,100,0.5001,313.2,1226,Qiao et al. (2011),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
dBaCW,100,0.5001,333.2,1210,Qiao et al. (2011),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
dBaCW,100,0.6008,313.2,1186,Qiao et al. (2011),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
dBaCW,100,0.6779,313.2,1149,Qiao et al. (2011),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
dBaCW,5000,0.0999,313.2,1339,Qiao et al. (2011),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
dBaCW,5000,0.0999,333.2,1321,Qiao et al. (2011),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
dBaCW,5000,0.0999,353.2,1304,Qiao et al. (2011),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
dBaCW,5000,0.0999,373.2,1287,Qiao et al. (2011),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
dBaCW,5000,0.0999,393.2,1271,Qiao et al. (2011),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
