setid,Mole fraction of 1-hexyl-3-methylimidazolium trifluoromethanesulfonate,"Temperature, K",Solvent: Weight fraction of sulfuric acid,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZbJGs,0,293.2,0.955,100,1834.4,Zhang et al. (2018j),Density,Liquid,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
ZbJGs,0,298.2,0.955,100,1830.3,Zhang et al. (2018j),Density,Liquid,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
ZbJGs,0,303.2,0.955,100,1825.9,Zhang et al. (2018j),Density,Liquid,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
ZbJGs,0,308.2,0.955,100,1820.6,Zhang et al. (2018j),Density,Liquid,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
ZbJGs,0,313.2,0.955,100,1814.4,Zhang et al. (2018j),Density,Liquid,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
ZbJGs,0.0032,293.2,0.955,100,1823.3,Zhang et al. (2018j),Density,Liquid,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
ZbJGs,0.0032,298.2,0.955,100,1819.2,Zhang et al. (2018j),Density,Liquid,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
ZbJGs,0.0032,303.2,0.955,100,1814.9,Zhang et al. (2018j),Density,Liquid,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
ZbJGs,0.0032,308.2,0.955,100,1810.5,Zhang et al. (2018j),Density,Liquid,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
ZbJGs,0.0032,313.2,0.955,100,1805,Zhang et al. (2018j),Density,Liquid,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
