setid,Mole fraction of 1-allyl-3-methylimidazolium thiocyanate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mUeAz,0,293.15,101,791.6,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0,298.15,101,786.9,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0,303.15,101,782.2,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0,308.15,101,777.4,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0,313.15,101,772.7,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0,318.15,101,767.9,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0,323.15,101,763.1,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.1006,293.15,101,918.19,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.1006,298.15,101,914.08,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.1006,303.15,101,909.98,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.1006,308.15,101,905.83,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.1006,313.15,101,901.72,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.1006,318.15,101,897.59,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.1006,323.15,101,893.45,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.1984,293.15,101,990.4,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.1984,298.15,101,986.52,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.1984,303.15,101,982.63,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.1984,308.15,101,978.76,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.1984,313.15,101,974.88,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.1984,318.15,101,971,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.1984,323.15,101,967.12,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.2956,293.15,101,1039.53,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.2956,298.15,101,1035.7,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.2956,303.15,101,1031.77,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.2956,308.15,101,1028.04,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.2956,313.15,101,1024.43,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.2956,318.15,101,1020.38,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.2956,323.15,101,1016.44,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.3921,293.15,101,1073.37,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.3921,298.15,101,1069.71,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.3921,303.15,101,1066.08,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.3921,308.15,101,1062.46,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.3921,313.15,101,1058.74,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.3921,318.15,101,1055.21,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.3921,323.15,101,1051.64,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.4816,293.15,101,1098.2,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.4816,298.15,101,1094.6,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.4816,303.15,101,1091.1,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.4816,308.15,101,1087.6,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.4816,313.15,101,1084,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.4816,318.15,101,1080.58,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.4816,323.15,101,1077.11,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.5951,293.15,101,1122.4,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.5951,298.15,101,1118.9,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
