setid,"MolaRity of N-ethyl-2-hydroxyethyl-N,N-dimethylammonium hexafluorophosphate, mol/dm3","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
LOkvf,0.1006,101,298.15,1007.6,Domanska et al. (2008d),Density,Liquid,AADYJk,O,water,AAyfqs,CC[N+](C)(C)CCO.F[P-](F)(F)(F)(F)F,"N-ethyl-2-hydroxyethyl-N,N-dimethylammonium hexafluorophosphate",,,
LOkvf,0.1455,101,298.15,1015.2,Domanska et al. (2008d),Density,Liquid,AADYJk,O,water,AAyfqs,CC[N+](C)(C)CCO.F[P-](F)(F)(F)(F)F,"N-ethyl-2-hydroxyethyl-N,N-dimethylammonium hexafluorophosphate",,,
LOkvf,0.3011,101,298.15,1029.3,Domanska et al. (2008d),Density,Liquid,AADYJk,O,water,AAyfqs,CC[N+](C)(C)CCO.F[P-](F)(F)(F)(F)F,"N-ethyl-2-hydroxyethyl-N,N-dimethylammonium hexafluorophosphate",,,
