setid,Mole fraction of ethyldiisopropylammonium formate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
moiBU,0,101.3,298.15,997,Anouti et al. (2009),Density,Liquid,AADYJk,O,water,AAhkYl,CC[NH+](C(C)C)C(C)C.O=C[O-],ethyldiisopropylammonium formate,,,
moiBU,0.0043,101.3,298.15,997,Anouti et al. (2009),Density,Liquid,AADYJk,O,water,AAhkYl,CC[NH+](C(C)C)C(C)C.O=C[O-],ethyldiisopropylammonium formate,,,
moiBU,0.025,101.3,298.15,1002,Anouti et al. (2009),Density,Liquid,AADYJk,O,water,AAhkYl,CC[NH+](C(C)C)C(C)C.O=C[O-],ethyldiisopropylammonium formate,,,
moiBU,0.046,101.3,298.15,1007,Anouti et al. (2009),Density,Liquid,AADYJk,O,water,AAhkYl,CC[NH+](C(C)C)C(C)C.O=C[O-],ethyldiisopropylammonium formate,,,
moiBU,0.078,101.3,298.15,1013,Anouti et al. (2009),Density,Liquid,AADYJk,O,water,AAhkYl,CC[NH+](C(C)C)C(C)C.O=C[O-],ethyldiisopropylammonium formate,,,
moiBU,0.11,101.3,298.15,1016,Anouti et al. (2009),Density,Liquid,AADYJk,O,water,AAhkYl,CC[NH+](C(C)C)C(C)C.O=C[O-],ethyldiisopropylammonium formate,,,
moiBU,0.15,101.3,298.15,1018,Anouti et al. (2009),Density,Liquid,AADYJk,O,water,AAhkYl,CC[NH+](C(C)C)C(C)C.O=C[O-],ethyldiisopropylammonium formate,,,
moiBU,0.29,101.3,298.15,1019,Anouti et al. (2009),Density,Liquid,AADYJk,O,water,AAhkYl,CC[NH+](C(C)C)C(C)C.O=C[O-],ethyldiisopropylammonium formate,,,
moiBU,0.37,101.3,298.15,1017,Anouti et al. (2009),Density,Liquid,AADYJk,O,water,AAhkYl,CC[NH+](C(C)C)C(C)C.O=C[O-],ethyldiisopropylammonium formate,,,
moiBU,0.48,101.3,298.15,1015,Anouti et al. (2009),Density,Liquid,AADYJk,O,water,AAhkYl,CC[NH+](C(C)C)C(C)C.O=C[O-],ethyldiisopropylammonium formate,,,
moiBU,0.54,101.3,298.15,1014,Anouti et al. (2009),Density,Liquid,AADYJk,O,water,AAhkYl,CC[NH+](C(C)C)C(C)C.O=C[O-],ethyldiisopropylammonium formate,,,
moiBU,0.58,101.3,298.15,1013,Anouti et al. (2009),Density,Liquid,AADYJk,O,water,AAhkYl,CC[NH+](C(C)C)C(C)C.O=C[O-],ethyldiisopropylammonium formate,,,
moiBU,0.7,101.3,298.15,1012,Anouti et al. (2009),Density,Liquid,AADYJk,O,water,AAhkYl,CC[NH+](C(C)C)C(C)C.O=C[O-],ethyldiisopropylammonium formate,,,
moiBU,0.83,101.3,298.15,1010,Anouti et al. (2009),Density,Liquid,AADYJk,O,water,AAhkYl,CC[NH+](C(C)C)C(C)C.O=C[O-],ethyldiisopropylammonium formate,,,
moiBU,1,101.3,298.15,1008,Anouti et al. (2009),Density,Liquid,AADYJk,O,water,AAhkYl,CC[NH+](C(C)C)C(C)C.O=C[O-],ethyldiisopropylammonium formate,,,
