setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium methanesulfonate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
igRWY,298.15,0.3,101,1150,Anantharaj and Banerjee (2013),Density,Liquid,AAYrly,c1ccc2ncccc2c1,quinoline,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
igRWY,298.15,0.4,101,1167,Anantharaj and Banerjee (2013),Density,Liquid,AAYrly,c1ccc2ncccc2c1,quinoline,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
igRWY,298.15,0.5,101,1184,Anantharaj and Banerjee (2013),Density,Liquid,AAYrly,c1ccc2ncccc2c1,quinoline,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
igRWY,298.15,0.6,101,1189,Anantharaj and Banerjee (2013),Density,Liquid,AAYrly,c1ccc2ncccc2c1,quinoline,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
igRWY,298.15,0.7,101,1205,Anantharaj and Banerjee (2013),Density,Liquid,AAYrly,c1ccc2ncccc2c1,quinoline,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
igRWY,298.15,0.8,101,1220,Anantharaj and Banerjee (2013),Density,Liquid,AAYrly,c1ccc2ncccc2c1,quinoline,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
igRWY,303.15,0.3,101,1146,Anantharaj and Banerjee (2013),Density,Liquid,AAYrly,c1ccc2ncccc2c1,quinoline,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
igRWY,303.15,0.4,101,1164,Anantharaj and Banerjee (2013),Density,Liquid,AAYrly,c1ccc2ncccc2c1,quinoline,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
igRWY,303.15,0.5,101,1181,Anantharaj and Banerjee (2013),Density,Liquid,AAYrly,c1ccc2ncccc2c1,quinoline,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
igRWY,303.15,0.6,101,1186,Anantharaj and Banerjee (2013),Density,Liquid,AAYrly,c1ccc2ncccc2c1,quinoline,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
igRWY,303.15,0.7,101,1202,Anantharaj and Banerjee (2013),Density,Liquid,AAYrly,c1ccc2ncccc2c1,quinoline,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
igRWY,303.15,0.8,101,1217,Anantharaj and Banerjee (2013),Density,Liquid,AAYrly,c1ccc2ncccc2c1,quinoline,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
igRWY,308.15,0.3,101,1143,Anantharaj and Banerjee (2013),Density,Liquid,AAYrly,c1ccc2ncccc2c1,quinoline,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
igRWY,308.15,0.4,101,1160,Anantharaj and Banerjee (2013),Density,Liquid,AAYrly,c1ccc2ncccc2c1,quinoline,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
igRWY,308.15,0.5,101,1177,Anantharaj and Banerjee (2013),Density,Liquid,AAYrly,c1ccc2ncccc2c1,quinoline,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
igRWY,308.15,0.6,101,1180,Anantharaj and Banerjee (2013),Density,Liquid,AAYrly,c1ccc2ncccc2c1,quinoline,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
igRWY,308.15,0.7,101,1198,Anantharaj and Banerjee (2013),Density,Liquid,AAYrly,c1ccc2ncccc2c1,quinoline,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
igRWY,308.15,0.8,101,1213,Anantharaj and Banerjee (2013),Density,Liquid,AAYrly,c1ccc2ncccc2c1,quinoline,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
igRWY,313.15,0.3,101,1139,Anantharaj and Banerjee (2013),Density,Liquid,AAYrly,c1ccc2ncccc2c1,quinoline,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
igRWY,313.15,0.4,101,1156,Anantharaj and Banerjee (2013),Density,Liquid,AAYrly,c1ccc2ncccc2c1,quinoline,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
igRWY,313.15,0.5,101,1173,Anantharaj and Banerjee (2013),Density,Liquid,AAYrly,c1ccc2ncccc2c1,quinoline,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
igRWY,313.15,0.6,101,1178,Anantharaj and Banerjee (2013),Density,Liquid,AAYrly,c1ccc2ncccc2c1,quinoline,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
igRWY,313.15,0.7,101,1194,Anantharaj and Banerjee (2013),Density,Liquid,AAYrly,c1ccc2ncccc2c1,quinoline,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
igRWY,313.15,0.8,101,1210,Anantharaj and Banerjee (2013),Density,Liquid,AAYrly,c1ccc2ncccc2c1,quinoline,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
igRWY,318.15,0.3,101,1135.6,Anantharaj and Banerjee (2013),Density,Liquid,AAYrly,c1ccc2ncccc2c1,quinoline,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
igRWY,318.15,0.4,101,1153,Anantharaj and Banerjee (2013),Density,Liquid,AAYrly,c1ccc2ncccc2c1,quinoline,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
igRWY,318.15,0.5,101,1170,Anantharaj and Banerjee (2013),Density,Liquid,AAYrly,c1ccc2ncccc2c1,quinoline,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
igRWY,318.15,0.6,101,1175,Anantharaj and Banerjee (2013),Density,Liquid,AAYrly,c1ccc2ncccc2c1,quinoline,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
igRWY,318.15,0.7,101,1191,Anantharaj and Banerjee (2013),Density,Liquid,AAYrly,c1ccc2ncccc2c1,quinoline,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
igRWY,318.15,0.8,101,1206,Anantharaj and Banerjee (2013),Density,Liquid,AAYrly,c1ccc2ncccc2c1,quinoline,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
igRWY,323.15,0.3,101,1131.9,Anantharaj and Banerjee (2013),Density,Liquid,AAYrly,c1ccc2ncccc2c1,quinoline,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
igRWY,323.15,0.4,101,1149,Anantharaj and Banerjee (2013),Density,Liquid,AAYrly,c1ccc2ncccc2c1,quinoline,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
igRWY,323.15,0.5,101,1166,Anantharaj and Banerjee (2013),Density,Liquid,AAYrly,c1ccc2ncccc2c1,quinoline,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
igRWY,323.15,0.6,101,1172,Anantharaj and Banerjee (2013),Density,Liquid,AAYrly,c1ccc2ncccc2c1,quinoline,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
igRWY,323.15,0.7,101,1187,Anantharaj and Banerjee (2013),Density,Liquid,AAYrly,c1ccc2ncccc2c1,quinoline,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
igRWY,323.15,0.8,101,1203,Anantharaj and Banerjee (2013),Density,Liquid,AAYrly,c1ccc2ncccc2c1,quinoline,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
