setid,"Temperature, K",Mole fraction of 1-decyl-3-methyl-1H-imidazolium tetracyanoborate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
GsgNE,303.15,0.201,101,880.44,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABNCwG,CCCCCCCCCC[n+]1ccn(C)c1.N#C[B-](C#N)(C#N)C#N,1-decyl-3-methyl-1H-imidazolium tetracyanoborate,,,
GsgNE,303.15,0.392,101,914.8,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABNCwG,CCCCCCCCCC[n+]1ccn(C)c1.N#C[B-](C#N)(C#N)C#N,1-decyl-3-methyl-1H-imidazolium tetracyanoborate,,,
GsgNE,303.15,0.595,101,928,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABNCwG,CCCCCCCCCC[n+]1ccn(C)c1.N#C[B-](C#N)(C#N)C#N,1-decyl-3-methyl-1H-imidazolium tetracyanoborate,,,
GsgNE,303.15,0.789,101,950.17,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABNCwG,CCCCCCCCCC[n+]1ccn(C)c1.N#C[B-](C#N)(C#N)C#N,1-decyl-3-methyl-1H-imidazolium tetracyanoborate,,,
GsgNE,313.15,0.201,101,873.13,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABNCwG,CCCCCCCCCC[n+]1ccn(C)c1.N#C[B-](C#N)(C#N)C#N,1-decyl-3-methyl-1H-imidazolium tetracyanoborate,,,
GsgNE,313.15,0.392,101,907.33,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABNCwG,CCCCCCCCCC[n+]1ccn(C)c1.N#C[B-](C#N)(C#N)C#N,1-decyl-3-methyl-1H-imidazolium tetracyanoborate,,,
GsgNE,313.15,0.595,101,922,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABNCwG,CCCCCCCCCC[n+]1ccn(C)c1.N#C[B-](C#N)(C#N)C#N,1-decyl-3-methyl-1H-imidazolium tetracyanoborate,,,
GsgNE,313.15,0.789,101,943.21,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABNCwG,CCCCCCCCCC[n+]1ccn(C)c1.N#C[B-](C#N)(C#N)C#N,1-decyl-3-methyl-1H-imidazolium tetracyanoborate,,,
GsgNE,323.15,0.201,101,866.07,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABNCwG,CCCCCCCCCC[n+]1ccn(C)c1.N#C[B-](C#N)(C#N)C#N,1-decyl-3-methyl-1H-imidazolium tetracyanoborate,,,
GsgNE,323.15,0.392,101,899.76,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABNCwG,CCCCCCCCCC[n+]1ccn(C)c1.N#C[B-](C#N)(C#N)C#N,1-decyl-3-methyl-1H-imidazolium tetracyanoborate,,,
GsgNE,323.15,0.595,101,917,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABNCwG,CCCCCCCCCC[n+]1ccn(C)c1.N#C[B-](C#N)(C#N)C#N,1-decyl-3-methyl-1H-imidazolium tetracyanoborate,,,
GsgNE,323.15,0.789,101,936.43,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABNCwG,CCCCCCCCCC[n+]1ccn(C)c1.N#C[B-](C#N)(C#N)C#N,1-decyl-3-methyl-1H-imidazolium tetracyanoborate,,,
GsgNE,333.15,0.201,101,858.78,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABNCwG,CCCCCCCCCC[n+]1ccn(C)c1.N#C[B-](C#N)(C#N)C#N,1-decyl-3-methyl-1H-imidazolium tetracyanoborate,,,
GsgNE,333.15,0.392,101,891.72,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABNCwG,CCCCCCCCCC[n+]1ccn(C)c1.N#C[B-](C#N)(C#N)C#N,1-decyl-3-methyl-1H-imidazolium tetracyanoborate,,,
GsgNE,333.15,0.595,101,916,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABNCwG,CCCCCCCCCC[n+]1ccn(C)c1.N#C[B-](C#N)(C#N)C#N,1-decyl-3-methyl-1H-imidazolium tetracyanoborate,,,
GsgNE,333.15,0.789,101,929.81,Nann et al. (2013a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABNCwG,CCCCCCCCCC[n+]1ccn(C)c1.N#C[B-](C#N)(C#N)C#N,1-decyl-3-methyl-1H-imidazolium tetracyanoborate,,,
