setid,Mole fraction of 1-butylpyridinium nitrate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
gvOnR,0,101,298.15,1000,Wang et al. (2012a),Density,Liquid,AADYJk,O,water,AAmGAe,CCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-butylpyridinium nitrate,,,
gvOnR,0.0097,101,298.15,1016.3,Wang et al. (2012a),Density,Liquid,AADYJk,O,water,AAmGAe,CCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-butylpyridinium nitrate,,,
gvOnR,0.015,101,298.15,1024.4,Wang et al. (2012a),Density,Liquid,AADYJk,O,water,AAmGAe,CCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-butylpyridinium nitrate,,,
gvOnR,0.0359,101,298.15,1051.1,Wang et al. (2012a),Density,Liquid,AADYJk,O,water,AAmGAe,CCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-butylpyridinium nitrate,,,
gvOnR,0.0498,101,298.15,1067,Wang et al. (2012a),Density,Liquid,AADYJk,O,water,AAmGAe,CCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-butylpyridinium nitrate,,,
gvOnR,0.0593,101,298.15,1076.1,Wang et al. (2012a),Density,Liquid,AADYJk,O,water,AAmGAe,CCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-butylpyridinium nitrate,,,
gvOnR,0.0816,101,298.15,1092.6,Wang et al. (2012a),Density,Liquid,AADYJk,O,water,AAmGAe,CCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-butylpyridinium nitrate,,,
gvOnR,0.1136,101,298.15,1113.6,Wang et al. (2012a),Density,Liquid,AADYJk,O,water,AAmGAe,CCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-butylpyridinium nitrate,,,
gvOnR,0.2067,101,298.15,1144.7,Wang et al. (2012a),Density,Liquid,AADYJk,O,water,AAmGAe,CCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-butylpyridinium nitrate,,,
gvOnR,0.3247,101,298.15,1165.5,Wang et al. (2012a),Density,Liquid,AADYJk,O,water,AAmGAe,CCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-butylpyridinium nitrate,,,
gvOnR,0.447,101,298.15,1176.9,Wang et al. (2012a),Density,Liquid,AADYJk,O,water,AAmGAe,CCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-butylpyridinium nitrate,,,
gvOnR,0.633,101,298.15,1182.2,Wang et al. (2012a),Density,Liquid,AADYJk,O,water,AAmGAe,CCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-butylpyridinium nitrate,,,
gvOnR,0.7604,101,298.15,1185.3,Wang et al. (2012a),Density,Liquid,AADYJk,O,water,AAmGAe,CCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-butylpyridinium nitrate,,,
gvOnR,0.8226,101,298.15,1186.6,Wang et al. (2012a),Density,Liquid,AADYJk,O,water,AAmGAe,CCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-butylpyridinium nitrate,,,
gvOnR,0.9023,101,298.15,1188,Wang et al. (2012a),Density,Liquid,AADYJk,O,water,AAmGAe,CCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-butylpyridinium nitrate,,,
gvOnR,1,101,298.15,1188.5,Wang et al. (2012a),Density,Liquid,AADYJk,O,water,AAmGAe,CCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-butylpyridinium nitrate,,,
