setid,Mole fraction of butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
jBpcA,0,323.15,100,979.1,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0,328.15,100,975.1,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0,333.15,100,971.2,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0,338.15,100,967.2,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0,343.15,100,963.1,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0,348.15,100,959,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0,353.15,100,954.9,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0.0969,323.15,100,1076.8,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0.0969,328.15,100,1072.4,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0.0969,333.15,100,1068.7,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0.0969,338.15,100,1064.6,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0.0969,343.15,100,1060.4,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0.0969,348.15,100,1056.1,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0.0969,353.15,100,1051.9,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0.1378,323.15,100,1108.2,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0.1378,328.15,100,1103.8,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0.1378,333.15,100,1099.7,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0.1378,338.15,100,1095.5,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0.1378,343.15,100,1091.3,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0.1378,348.15,100,1087,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0.1378,353.15,100,1082.7,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0.3711,323.15,100,1229.8,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0.3711,328.15,100,1225.3,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0.3711,333.15,100,1221,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0.3711,338.15,100,1216.7,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0.3711,343.15,100,1212.4,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0.3711,348.15,100,1208,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0.3711,353.15,100,1203.6,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0.4884,323.15,100,1269.7,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0.4884,328.15,100,1265.2,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0.4884,333.15,100,1260.8,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0.4884,338.15,100,1256.4,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0.4884,343.15,100,1251.9,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0.4884,348.15,100,1247.5,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0.4884,353.15,100,1243.1,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0.6457,323.15,100,1310.3,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0.6457,328.15,100,1305.8,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0.6457,333.15,100,1301.4,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0.6457,338.15,100,1297,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0.6457,343.15,100,1292.6,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0.6457,348.15,100,1288.2,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0.6457,353.15,100,1283.8,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0.7709,323.15,100,1335.3,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0.7709,328.15,100,1330.8,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0.7709,333.15,100,1326.4,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0.7709,338.15,100,1322,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0.7709,343.15,100,1317.7,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0.7709,348.15,100,1313.3,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
jBpcA,0.7709,353.15,100,1309,Domanska et al. (2014e),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
