setid,Mole fraction of 2-aminoethan-1-ol,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mXVTO,0,298.1,100,1015,Cao et al. (2015),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
mXVTO,0,303.1,100,1010,Cao et al. (2015),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
mXVTO,0,313.1,100,1004,Cao et al. (2015),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
mXVTO,0,323.1,100,994.7,Cao et al. (2015),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
mXVTO,0,343,100,977.8,Cao et al. (2015),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
mXVTO,0.333,293.2,100,1076,Cao et al. (2015),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
mXVTO,0.333,298.2,100,1074,Cao et al. (2015),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
mXVTO,0.333,303.2,100,1071,Cao et al. (2015),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
mXVTO,0.333,313.2,100,1065,Cao et al. (2015),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
mXVTO,0.333,323.1,100,1058,Cao et al. (2015),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
