setid,Mole fraction of benzene,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZxVvo,0,343.15,100,1224,Requejo et al. (2017),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABoVAt,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tributylmethylammonium bis((trifluoromethyl)sulfonyl)imide,,,
ZxVvo,0.048,343.15,100,1220,Requejo et al. (2017),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABoVAt,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tributylmethylammonium bis((trifluoromethyl)sulfonyl)imide,,,
ZxVvo,0.097,343.15,100,1216,Requejo et al. (2017),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABoVAt,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tributylmethylammonium bis((trifluoromethyl)sulfonyl)imide,,,
ZxVvo,0.198,343.15,100,1204,Requejo et al. (2017),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABoVAt,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tributylmethylammonium bis((trifluoromethyl)sulfonyl)imide,,,
ZxVvo,0.294,343.15,100,1189,Requejo et al. (2017),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABoVAt,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tributylmethylammonium bis((trifluoromethyl)sulfonyl)imide,,,
ZxVvo,0.393,343.15,100,1168,Requejo et al. (2017),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABoVAt,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tributylmethylammonium bis((trifluoromethyl)sulfonyl)imide,,,
ZxVvo,0.506,343.15,100,1139,Requejo et al. (2017),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABoVAt,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tributylmethylammonium bis((trifluoromethyl)sulfonyl)imide,,,
ZxVvo,0.596,343.15,100,1112,Requejo et al. (2017),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABoVAt,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tributylmethylammonium bis((trifluoromethyl)sulfonyl)imide,,,
ZxVvo,0.701,343.15,100,1076,Requejo et al. (2017),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABoVAt,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tributylmethylammonium bis((trifluoromethyl)sulfonyl)imide,,,
ZxVvo,0.738,343.15,100,1062,Requejo et al. (2017),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABoVAt,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tributylmethylammonium bis((trifluoromethyl)sulfonyl)imide,,,
ZxVvo,0.774,343.15,100,1048,Requejo et al. (2017),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABoVAt,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tributylmethylammonium bis((trifluoromethyl)sulfonyl)imide,,,
ZxVvo,0.801,343.15,100,1037,Requejo et al. (2017),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABoVAt,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tributylmethylammonium bis((trifluoromethyl)sulfonyl)imide,,,
ZxVvo,0.823,343.15,100,1028,Requejo et al. (2017),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABoVAt,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tributylmethylammonium bis((trifluoromethyl)sulfonyl)imide,,,
ZxVvo,0.85,343.15,100,1016,Requejo et al. (2017),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABoVAt,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tributylmethylammonium bis((trifluoromethyl)sulfonyl)imide,,,
ZxVvo,0.865,343.15,100,1010,Requejo et al. (2017),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABoVAt,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tributylmethylammonium bis((trifluoromethyl)sulfonyl)imide,,,
