setid,"Temperature, K","MolaLity of 1-ethyl-3-methylimidazolium tetrafluoroborate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
iuGij,283.15,0,100,817.103,Borun and Bald (2016a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
iuGij,283.15,0.0094,100,817.716,Borun and Bald (2016a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
iuGij,288.15,0,100,813.337,Borun and Bald (2016a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
iuGij,288.15,0.0094,100,813.954,Borun and Bald (2016a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
iuGij,293.15,0,100,809.548,Borun and Bald (2016a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
iuGij,293.15,0.0094,100,810.164,Borun and Bald (2016a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
iuGij,298.15,0,100,805.738,Borun and Bald (2016a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
iuGij,298.15,0.0094,100,806.357,Borun and Bald (2016a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
iuGij,303.15,0,100,801.901,Borun and Bald (2016a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
iuGij,303.15,0.0094,100,802.519,Borun and Bald (2016a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
iuGij,308.15,0,100,798.032,Borun and Bald (2016a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
iuGij,308.15,0.0094,100,798.653,Borun and Bald (2016a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
iuGij,313.15,0,100,794.128,Borun and Bald (2016a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
iuGij,313.15,0.0094,100,794.75,Borun and Bald (2016a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
iuGij,318.15,0,100,790.181,Borun and Bald (2016a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
iuGij,318.15,0.0094,100,790.804,Borun and Bald (2016a),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
