setid,"Temperature, K",Weight fraction of N-methyldiethanolamine,Weight fraction of 1-butyl-3-methylimidazolium acetate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kHKOc,293.15,0.3,0,101,1032.1,Shojaeian and Haghtalab (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
kHKOc,293.15,0.3,0.1,101,1037.5,Shojaeian and Haghtalab (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
kHKOc,293.15,0.35,0.05,101,1037,Shojaeian and Haghtalab (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
kHKOc,293.15,0.4,0,101,1036.6,Shojaeian and Haghtalab (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
kHKOc,303.15,0.3,0,101,1026.8,Shojaeian and Haghtalab (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
kHKOc,303.15,0.3,0.1,101,1031.6,Shojaeian and Haghtalab (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
kHKOc,303.15,0.35,0.05,101,1031.3,Shojaeian and Haghtalab (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
kHKOc,303.15,0.4,0,101,1031,Shojaeian and Haghtalab (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
kHKOc,313.15,0.3,0,101,1021.5,Shojaeian and Haghtalab (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
kHKOc,313.15,0.3,0.1,101,1025.9,Shojaeian and Haghtalab (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
kHKOc,313.15,0.35,0.05,101,1025.6,Shojaeian and Haghtalab (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
kHKOc,313.15,0.4,0,101,1025.4,Shojaeian and Haghtalab (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
kHKOc,323.15,0.3,0,101,1015.5,Shojaeian and Haghtalab (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
kHKOc,323.15,0.3,0.1,101,1019.5,Shojaeian and Haghtalab (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
kHKOc,323.15,0.35,0.05,101,1019.3,Shojaeian and Haghtalab (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
kHKOc,323.15,0.4,0,101,1019.2,Shojaeian and Haghtalab (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
kHKOc,333.15,0.3,0,101,1009,Shojaeian and Haghtalab (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
kHKOc,333.15,0.3,0.1,101,1012.5,Shojaeian and Haghtalab (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
kHKOc,333.15,0.35,0.05,101,1012.5,Shojaeian and Haghtalab (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
kHKOc,333.15,0.4,0,101,1012.5,Shojaeian and Haghtalab (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
kHKOc,343.15,0.3,0,101,1002.3,Shojaeian and Haghtalab (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
kHKOc,343.15,0.3,0.1,101,1005.1,Shojaeian and Haghtalab (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
kHKOc,343.15,0.35,0.05,101,1005.5,Shojaeian and Haghtalab (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
kHKOc,343.15,0.4,0,101,1005.5,Shojaeian and Haghtalab (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
