setid,Solvent: Weight fraction of triethylammonium dihydrogen phosphate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
BDaCj,0.123,298.15,101,1078.43,Vasantha et al. (2013),Density,Liquid,Crystal of pure component 1,,3,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
BDaCj,0.1901,298.15,101,1109.01,Vasantha et al. (2013),Density,Liquid,Crystal of pure component 1,,3,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
BDaCj,0.259,298.15,101,1125.01,Vasantha et al. (2013),Density,Liquid,Crystal of pure component 1,,3,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
