setid,"MolaLity of tetraisopentylammonium bromide, mol/kg","Temperature, K","Pressure, kPa","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZgVdY,0.01916,298.15,101,-1.569,Zana et al. (1982),Density,Liquid,ABUonT,CC(C)CC[N+](CCC(C)C)(CCC(C)C)CCC(C)C.[Br-],tetraisopentylammonium bromide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
ZgVdY,0.03942,298.15,101,-3.202,Zana et al. (1982),Density,Liquid,ABUonT,CC(C)CC[N+](CCC(C)C)(CCC(C)C)CCC(C)C.[Br-],tetraisopentylammonium bromide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
ZgVdY,0.06184,298.15,101,-4.981,Zana et al. (1982),Density,Liquid,ABUonT,CC(C)CC[N+](CCC(C)C)(CCC(C)C)CCC(C)C.[Br-],tetraisopentylammonium bromide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
ZgVdY,0.07936,298.15,101,-6.348,Zana et al. (1982),Density,Liquid,ABUonT,CC(C)CC[N+](CCC(C)C)(CCC(C)C)CCC(C)C.[Br-],tetraisopentylammonium bromide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
ZgVdY,0.10131,298.15,101,-8.025,Zana et al. (1982),Density,Liquid,ABUonT,CC(C)CC[N+](CCC(C)C)(CCC(C)C)CCC(C)C.[Br-],tetraisopentylammonium bromide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
ZgVdY,0.13976,298.15,101,-10.935,Zana et al. (1982),Density,Liquid,ABUonT,CC(C)CC[N+](CCC(C)C)(CCC(C)C)CCC(C)C.[Br-],tetraisopentylammonium bromide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
ZgVdY,0.21631,298.15,101,-16.346,Zana et al. (1982),Density,Liquid,ABUonT,CC(C)CC[N+](CCC(C)C)(CCC(C)C)CCC(C)C.[Br-],tetraisopentylammonium bromide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
