setid,"MolaLity of 1-methyl-3-octyl-1H-imidazolium thiocyanate, mol/kg","Solvent: MolaLity of lithium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
xmsYn,0,0.2688,101,298.15,1048.7,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
xmsYn,0,0.5408,101,298.15,1067.5,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
xmsYn,0,0.8185,101,298.15,1086.3,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
xmsYn,0.0121,0.2688,101,298.15,1048.6,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
xmsYn,0.013,0.5408,101,298.15,1067.4,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
xmsYn,0.0139,0.8185,101,298.15,1086.1,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
xmsYn,0.0241,0.8185,101,298.15,1085.9,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
xmsYn,0.0261,0.5408,101,298.15,1067.3,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
xmsYn,0.0279,0.2688,101,298.15,1048.6,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
xmsYn,0.0362,0.8185,101,298.15,1085.7,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
xmsYn,0.0379,0.5408,101,298.15,1067.2,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
xmsYn,0.0396,0.2688,101,298.15,1048.6,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
