setid,"Temperature, K",Mole fraction of glycerol,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
dPboj,293.15,0.202,100,1285,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,293.15,0.3,100,1282,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,293.15,0.399,100,1279,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,293.15,0.5,100,1277,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,293.15,0.6,100,1274,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,293.15,0.7,100,1270,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,293.15,0.8,100,1268,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,293.15,0.9,100,1265,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,293.15,0.956,100,1263,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,293.15,0.979,100,1261,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,293.15,0.987,100,1261,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,293.15,0.998,100,1261,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,298.15,0.202,100,1281,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,298.15,0.3,100,1278,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,298.15,0.399,100,1275,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,298.15,0.5,100,1273,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,298.15,0.6,100,1270,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,298.15,0.7,100,1267,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,298.15,0.8,100,1265,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,298.15,0.9,100,1262,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,298.15,0.956,100,1259,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,298.15,0.979,100,1258,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,298.15,0.987,100,1258,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,298.15,0.998,100,1257,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,303.15,0.202,100,1277,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,303.15,0.3,100,1274,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,303.15,0.399,100,1271,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,303.15,0.5,100,1270,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,303.15,0.6,100,1266,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,303.15,0.7,100,1263,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,303.15,0.8,100,1261,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,303.15,0.9,100,1259,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
