setid,"Moles per mass of solution: tetraethylammonium perchlorate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
HtwbF,0,100,298.15,1095.33,Krakowiak et al. (2001),Density,Liquid,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
HtwbF,0.01831,100,298.15,1095.71,Krakowiak et al. (2001),Density,Liquid,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
HtwbF,0.02355,100,298.15,1095.85,Krakowiak et al. (2001),Density,Liquid,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
HtwbF,0.02843,100,298.15,1095.97,Krakowiak et al. (2001),Density,Liquid,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
HtwbF,0.03568,100,298.15,1096.16,Krakowiak et al. (2001),Density,Liquid,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
HtwbF,0.04288,100,298.15,1096.34,Krakowiak et al. (2001),Density,Liquid,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
HtwbF,0.0547,100,298.15,1096.65,Krakowiak et al. (2001),Density,Liquid,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
HtwbF,0.07146,100,298.15,1097.08,Krakowiak et al. (2001),Density,Liquid,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
HtwbF,0.08976,100,298.15,1097.55,Krakowiak et al. (2001),Density,Liquid,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
HtwbF,0.10899,100,298.15,1098.04,Krakowiak et al. (2001),Density,Liquid,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
HtwbF,0.12731,100,298.15,1098.51,Krakowiak et al. (2001),Density,Liquid,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
HtwbF,0.14487,100,298.15,1098.96,Krakowiak et al. (2001),Density,Liquid,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
HtwbF,0.16156,100,298.15,1099.39,Krakowiak et al. (2001),Density,Liquid,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
HtwbF,0.18063,100,298.15,1099.87,Krakowiak et al. (2001),Density,Liquid,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
