setid,"Mole fraction of 2,4-pentanedione","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VNffO,0.0599,101,298.15,899.94,Choi et al. (2013),Density,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,
VNffO,0.113,101,298.15,900.73,Choi et al. (2013),Density,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,
VNffO,0.2,101,298.15,902.2,Choi et al. (2013),Density,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,
VNffO,0.3143,101,298.15,904.54,Choi et al. (2013),Density,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,
VNffO,0.4094,101,298.15,906.97,Choi et al. (2013),Density,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,
VNffO,0.5016,101,298.15,909.92,Choi et al. (2013),Density,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,
VNffO,0.5967,101,298.15,913.83,Choi et al. (2013),Density,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,
VNffO,0.7002,101,298.15,919.76,Choi et al. (2013),Density,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,
VNffO,0.8004,101,298.15,928.35,Choi et al. (2013),Density,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,
VNffO,0.9,101,298.15,942.61,Choi et al. (2013),Density,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,
VNffO,0.9496,101,298.15,953.89,Choi et al. (2013),Density,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,
