setid,"Temperature, K","MolaLity of dodecyltrimethylammonium bromide, mol/kg","Pressure, kPa","Solvent: MolaLity of tetrabutylammonium bromide, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
yfJNZ,293.15,0,100,0.01,998.57,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABJzYu,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],tetrabutylammonium bromide,AADYJk,O,water
yfJNZ,293.15,0.003,100,0.01,998.7,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABJzYu,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],tetrabutylammonium bromide,AADYJk,O,water
yfJNZ,293.15,0.006,100,0.01,998.74,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABJzYu,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],tetrabutylammonium bromide,AADYJk,O,water
yfJNZ,293.15,0.009,100,0.01,998.79,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABJzYu,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],tetrabutylammonium bromide,AADYJk,O,water
yfJNZ,293.15,0.012,100,0.01,998.85,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABJzYu,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],tetrabutylammonium bromide,AADYJk,O,water
yfJNZ,293.15,0.015,100,0.01,998.89,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABJzYu,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],tetrabutylammonium bromide,AADYJk,O,water
yfJNZ,293.15,0.018,100,0.01,998.94,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABJzYu,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],tetrabutylammonium bromide,AADYJk,O,water
yfJNZ,293.15,0.021,100,0.01,998.99,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABJzYu,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],tetrabutylammonium bromide,AADYJk,O,water
yfJNZ,293.15,0.024,100,0.01,999.03,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABJzYu,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],tetrabutylammonium bromide,AADYJk,O,water
yfJNZ,293.15,0.027,100,0.01,999.08,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABJzYu,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],tetrabutylammonium bromide,AADYJk,O,water
yfJNZ,293.15,0.03,100,0.01,999.14,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABJzYu,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],tetrabutylammonium bromide,AADYJk,O,water
yfJNZ,293.15,0.033,100,0.01,999.19,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABJzYu,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],tetrabutylammonium bromide,AADYJk,O,water
yfJNZ,298.15,0,100,0.01,997.35,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABJzYu,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],tetrabutylammonium bromide,AADYJk,O,water
yfJNZ,298.15,0.003,100,0.01,997.51,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABJzYu,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],tetrabutylammonium bromide,AADYJk,O,water
yfJNZ,298.15,0.006,100,0.01,997.55,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABJzYu,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],tetrabutylammonium bromide,AADYJk,O,water
yfJNZ,298.15,0.009,100,0.01,997.6,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABJzYu,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],tetrabutylammonium bromide,AADYJk,O,water
yfJNZ,298.15,0.012,100,0.01,997.66,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABJzYu,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],tetrabutylammonium bromide,AADYJk,O,water
yfJNZ,298.15,0.015,100,0.01,997.7,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABJzYu,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],tetrabutylammonium bromide,AADYJk,O,water
yfJNZ,298.15,0.018,100,0.01,997.75,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABJzYu,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],tetrabutylammonium bromide,AADYJk,O,water
yfJNZ,298.15,0.021,100,0.01,997.79,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABJzYu,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],tetrabutylammonium bromide,AADYJk,O,water
yfJNZ,298.15,0.024,100,0.01,997.83,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABJzYu,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],tetrabutylammonium bromide,AADYJk,O,water
yfJNZ,298.15,0.027,100,0.01,997.89,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABJzYu,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],tetrabutylammonium bromide,AADYJk,O,water
yfJNZ,298.15,0.03,100,0.01,997.93,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABJzYu,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],tetrabutylammonium bromide,AADYJk,O,water
yfJNZ,298.15,0.033,100,0.01,997.98,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABJzYu,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],tetrabutylammonium bromide,AADYJk,O,water
yfJNZ,303.15,0,100,0.01,995.88,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABJzYu,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],tetrabutylammonium bromide,AADYJk,O,water
yfJNZ,303.15,0.003,100,0.01,996.09,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABJzYu,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],tetrabutylammonium bromide,AADYJk,O,water
yfJNZ,303.15,0.006,100,0.01,996.14,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABJzYu,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],tetrabutylammonium bromide,AADYJk,O,water
yfJNZ,303.15,0.009,100,0.01,996.18,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABJzYu,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],tetrabutylammonium bromide,AADYJk,O,water
yfJNZ,303.15,0.012,100,0.01,996.22,Chauhan et al. (2016),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABJzYu,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],tetrabutylammonium bromide,AADYJk,O,water
