setid,"Temperature, K","MolaLity of L-leucine, mol/kg","Solvent: MolaLity of 1-ethyl-3-methylimidazolium hexafluorophosphate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZWlsv,298.15,0.01,0.001,100,997.4,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,298.15,0.01,0.003,100,997.5,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,298.15,0.01,0.005,100,997.7,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,298.15,0.0251,0.001,100,997.7,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,298.15,0.0251,0.003,100,997.9,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,298.15,0.0251,0.005,100,998,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,298.15,0.0403,0.001,100,998.1,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,298.15,0.0403,0.003,100,998.2,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,298.15,0.0403,0.005,100,998.4,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,298.15,0.0554,0.001,100,998.5,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,298.15,0.0554,0.003,100,998.6,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,298.15,0.0554,0.005,100,998.8,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,298.15,0.0707,0.001,100,998.9,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,298.15,0.0707,0.003,100,999,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,298.15,0.0707,0.005,100,999.1,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,298.15,0.0859,0.001,100,999.2,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,298.15,0.0859,0.003,100,999.4,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,298.15,0.0859,0.005,100,999.6,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,303.15,0.01,0.001,100,995.9,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,303.15,0.01,0.003,100,996,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,303.15,0.01,0.005,100,996.3,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,303.15,0.0251,0.001,100,996.3,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,303.15,0.0251,0.003,100,996.4,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,303.15,0.0251,0.005,100,996.6,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,303.15,0.0403,0.001,100,996.7,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,303.15,0.0403,0.003,100,996.7,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,303.15,0.0403,0.005,100,997,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,303.15,0.0554,0.001,100,997,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,303.15,0.0554,0.003,100,997.1,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,303.15,0.0554,0.005,100,997.4,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,303.15,0.0707,0.001,100,997.4,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,303.15,0.0707,0.003,100,997.5,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,303.15,0.0707,0.005,100,997.7,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,303.15,0.0859,0.001,100,997.8,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,303.15,0.0859,0.003,100,997.9,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,303.15,0.0859,0.005,100,998.1,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,308.15,0.01,0.001,100,994.3,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,308.15,0.01,0.003,100,994.4,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,308.15,0.01,0.005,100,994.7,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
