setid,"MolaLity of 1-butyl-3-methylimidazolium hexafluorophosphate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
aHvLG,0.0125,101,298.15,937.454,Zafarani-Moattar and Shekaari (2006a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
aHvLG,0.0255,101,298.15,938.668,Zafarani-Moattar and Shekaari (2006a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
aHvLG,0.0621,101,298.15,942.01,Zafarani-Moattar and Shekaari (2006a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
aHvLG,0.0894,101,298.15,944.466,Zafarani-Moattar and Shekaari (2006a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
aHvLG,0.1235,101,298.15,947.495,Zafarani-Moattar and Shekaari (2006a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
aHvLG,0.1351,101,298.15,948.511,Zafarani-Moattar and Shekaari (2006a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
aHvLG,0.1613,101,298.15,950.795,Zafarani-Moattar and Shekaari (2006a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
aHvLG,0.1905,101,298.15,953.306,Zafarani-Moattar and Shekaari (2006a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
aHvLG,0.3037,101,298.15,962.705,Zafarani-Moattar and Shekaari (2006a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
aHvLG,0.3683,101,298.15,967.921,Zafarani-Moattar and Shekaari (2006a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
aHvLG,0.4697,101,298.15,975.843,Zafarani-Moattar and Shekaari (2006a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
