setid,Mole fraction of 1-ethyl-3-methylimidazolium tetracyanoborate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mRGvb,0.2,101,298.15,914,Khan et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AArYZH,CC[n+]1ccn(C)c1.N#C[B-](C#N)(C#N)C#N,1-ethyl-3-methylimidazolium tetracyanoborate,,,
mRGvb,0.4,101,298.15,969,Khan et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AArYZH,CC[n+]1ccn(C)c1.N#C[B-](C#N)(C#N)C#N,1-ethyl-3-methylimidazolium tetracyanoborate,,,
mRGvb,0.6,101,298.15,1001,Khan et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AArYZH,CC[n+]1ccn(C)c1.N#C[B-](C#N)(C#N)C#N,1-ethyl-3-methylimidazolium tetracyanoborate,,,
mRGvb,0.8,101,298.15,1022,Khan et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AArYZH,CC[n+]1ccn(C)c1.N#C[B-](C#N)(C#N)C#N,1-ethyl-3-methylimidazolium tetracyanoborate,,,
