setid,"Temperature, K",Mole fraction of 1-methyl-1-(3-(trimethylammonio)propyl)piperidinium dicyanamide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
qQPsp,293.15,0,100,791.3,Yang and Fang (2019),Density,Liquid,ABLwsx,C[N+](C)(C)CCC[N+]1(C)CCCCC1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-1-(3-(trimethylammonio)propyl)piperidinium dicyanamide,AAGIBL,CO,methanol,,,
qQPsp,293.15,0.0998,100,958,Yang and Fang (2019),Density,Liquid,ABLwsx,C[N+](C)(C)CCC[N+]1(C)CCCCC1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-1-(3-(trimethylammonio)propyl)piperidinium dicyanamide,AAGIBL,CO,methanol,,,
qQPsp,293.15,0.2001,100,1020,Yang and Fang (2019),Density,Liquid,ABLwsx,C[N+](C)(C)CCC[N+]1(C)CCCCC1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-1-(3-(trimethylammonio)propyl)piperidinium dicyanamide,AAGIBL,CO,methanol,,,
qQPsp,293.15,0.2999,100,1050.5,Yang and Fang (2019),Density,Liquid,ABLwsx,C[N+](C)(C)CCC[N+]1(C)CCCCC1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-1-(3-(trimethylammonio)propyl)piperidinium dicyanamide,AAGIBL,CO,methanol,,,
qQPsp,293.15,0.4002,100,1069.8,Yang and Fang (2019),Density,Liquid,ABLwsx,C[N+](C)(C)CCC[N+]1(C)CCCCC1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-1-(3-(trimethylammonio)propyl)piperidinium dicyanamide,AAGIBL,CO,methanol,,,
qQPsp,293.15,0.5001,100,1083.3,Yang and Fang (2019),Density,Liquid,ABLwsx,C[N+](C)(C)CCC[N+]1(C)CCCCC1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-1-(3-(trimethylammonio)propyl)piperidinium dicyanamide,AAGIBL,CO,methanol,,,
qQPsp,293.15,0.6001,100,1093.2,Yang and Fang (2019),Density,Liquid,ABLwsx,C[N+](C)(C)CCC[N+]1(C)CCCCC1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-1-(3-(trimethylammonio)propyl)piperidinium dicyanamide,AAGIBL,CO,methanol,,,
qQPsp,293.15,0.7003,100,1100.9,Yang and Fang (2019),Density,Liquid,ABLwsx,C[N+](C)(C)CCC[N+]1(C)CCCCC1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-1-(3-(trimethylammonio)propyl)piperidinium dicyanamide,AAGIBL,CO,methanol,,,
qQPsp,293.15,0.8002,100,1106.6,Yang and Fang (2019),Density,Liquid,ABLwsx,C[N+](C)(C)CCC[N+]1(C)CCCCC1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-1-(3-(trimethylammonio)propyl)piperidinium dicyanamide,AAGIBL,CO,methanol,,,
qQPsp,293.15,0.8991,100,1110.3,Yang and Fang (2019),Density,Liquid,ABLwsx,C[N+](C)(C)CCC[N+]1(C)CCCCC1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-1-(3-(trimethylammonio)propyl)piperidinium dicyanamide,AAGIBL,CO,methanol,,,
qQPsp,293.15,1,100,1113.2,Yang and Fang (2019),Density,Liquid,ABLwsx,C[N+](C)(C)CCC[N+]1(C)CCCCC1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-1-(3-(trimethylammonio)propyl)piperidinium dicyanamide,AAGIBL,CO,methanol,,,
qQPsp,303.15,0,100,781.9,Yang and Fang (2019),Density,Liquid,ABLwsx,C[N+](C)(C)CCC[N+]1(C)CCCCC1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-1-(3-(trimethylammonio)propyl)piperidinium dicyanamide,AAGIBL,CO,methanol,,,
