setid,"MolaLity of lithium bis((trifluoromethyl)sulfonyl)amide, mol/kg","Pressure, kPa","Temperature, K","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
tUzXK,0.07249,101,308,0.012,Brouillette et al. (1998),Density,Liquid,AARRYu,COCCOC,"1,2-dimethoxyethane",ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
tUzXK,0.0779,101,308,0.013,Brouillette et al. (1998),Density,Liquid,AARRYu,COCCOC,"1,2-dimethoxyethane",ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
tUzXK,0.0874,101,308,0.015,Brouillette et al. (1998),Density,Liquid,AARRYu,COCCOC,"1,2-dimethoxyethane",ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
tUzXK,0.23351,101,308,0.038,Brouillette et al. (1998),Density,Liquid,AARRYu,COCCOC,"1,2-dimethoxyethane",ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
tUzXK,0.32812,101,308,0.053,Brouillette et al. (1998),Density,Liquid,AARRYu,COCCOC,"1,2-dimethoxyethane",ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
tUzXK,0.37938,101,308,0.061,Brouillette et al. (1998),Density,Liquid,AARRYu,COCCOC,"1,2-dimethoxyethane",ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
tUzXK,0.62719,101,308,0.097,Brouillette et al. (1998),Density,Liquid,AARRYu,COCCOC,"1,2-dimethoxyethane",ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
tUzXK,0.84877,101,308,0.127,Brouillette et al. (1998),Density,Liquid,AARRYu,COCCOC,"1,2-dimethoxyethane",ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
tUzXK,1.01446,101,308,0.149,Brouillette et al. (1998),Density,Liquid,AARRYu,COCCOC,"1,2-dimethoxyethane",ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
tUzXK,1.16781,101,308,0.168,Brouillette et al. (1998),Density,Liquid,AARRYu,COCCOC,"1,2-dimethoxyethane",ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
tUzXK,1.17336,101,308,0.174,Brouillette et al. (1998),Density,Liquid,AARRYu,COCCOC,"1,2-dimethoxyethane",ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
tUzXK,1.32615,101,308,0.187,Brouillette et al. (1998),Density,Liquid,AARRYu,COCCOC,"1,2-dimethoxyethane",ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
tUzXK,1.56257,101,308,0.217,Brouillette et al. (1998),Density,Liquid,AARRYu,COCCOC,"1,2-dimethoxyethane",ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
