setid,"MolaLity of N,N'-bis(2-hydroxybenzylidene)-1,3-propanediamine, mol/kg","Solvent: MolaLity of 1-pentyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
BQkHx,0,0,101,298.15,944.12,Shekaari et al. (2012d),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABCPZN,Oc1ccccc1C=NCCCN=Cc1ccccc1O,"N,N'-bis(2-hydroxybenzylidene)-1,3-propanediamine",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
BQkHx,0,0.0308,101,298.15,946.17,Shekaari et al. (2012d),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABCPZN,Oc1ccccc1C=NCCCN=Cc1ccccc1O,"N,N'-bis(2-hydroxybenzylidene)-1,3-propanediamine",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
BQkHx,0,0.2224,101,298.15,958.41,Shekaari et al. (2012d),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABCPZN,Oc1ccccc1C=NCCCN=Cc1ccccc1O,"N,N'-bis(2-hydroxybenzylidene)-1,3-propanediamine",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
BQkHx,0,0.4252,101,298.15,970.01,Shekaari et al. (2012d),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABCPZN,Oc1ccccc1C=NCCCN=Cc1ccccc1O,"N,N'-bis(2-hydroxybenzylidene)-1,3-propanediamine",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
BQkHx,0.0291,0,101,298.15,945.38,Shekaari et al. (2012d),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABCPZN,Oc1ccccc1C=NCCCN=Cc1ccccc1O,"N,N'-bis(2-hydroxybenzylidene)-1,3-propanediamine",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
BQkHx,0.0292,0.4252,101,298.15,971.18,Shekaari et al. (2012d),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABCPZN,Oc1ccccc1C=NCCCN=Cc1ccccc1O,"N,N'-bis(2-hydroxybenzylidene)-1,3-propanediamine",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
BQkHx,0.0293,0.0308,101,298.15,947.45,Shekaari et al. (2012d),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABCPZN,Oc1ccccc1C=NCCCN=Cc1ccccc1O,"N,N'-bis(2-hydroxybenzylidene)-1,3-propanediamine",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
BQkHx,0.0315,0.2224,101,298.15,959.73,Shekaari et al. (2012d),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABCPZN,Oc1ccccc1C=NCCCN=Cc1ccccc1O,"N,N'-bis(2-hydroxybenzylidene)-1,3-propanediamine",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
BQkHx,0.0459,0,101,298.15,946.11,Shekaari et al. (2012d),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABCPZN,Oc1ccccc1C=NCCCN=Cc1ccccc1O,"N,N'-bis(2-hydroxybenzylidene)-1,3-propanediamine",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
BQkHx,0.0467,0.2224,101,298.15,960.36,Shekaari et al. (2012d),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABCPZN,Oc1ccccc1C=NCCCN=Cc1ccccc1O,"N,N'-bis(2-hydroxybenzylidene)-1,3-propanediamine",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
BQkHx,0.0468,0.4252,101,298.15,971.88,Shekaari et al. (2012d),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABCPZN,Oc1ccccc1C=NCCCN=Cc1ccccc1O,"N,N'-bis(2-hydroxybenzylidene)-1,3-propanediamine",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
BQkHx,0.0472,0.0308,101,298.15,948.23,Shekaari et al. (2012d),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABCPZN,Oc1ccccc1C=NCCCN=Cc1ccccc1O,"N,N'-bis(2-hydroxybenzylidene)-1,3-propanediamine",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
BQkHx,0.0657,0.0308,101,298.15,949.03,Shekaari et al. (2012d),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABCPZN,Oc1ccccc1C=NCCCN=Cc1ccccc1O,"N,N'-bis(2-hydroxybenzylidene)-1,3-propanediamine",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
BQkHx,0.0671,0.4252,101,298.15,972.68,Shekaari et al. (2012d),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABCPZN,Oc1ccccc1C=NCCCN=Cc1ccccc1O,"N,N'-bis(2-hydroxybenzylidene)-1,3-propanediamine",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
BQkHx,0.0672,0,101,298.15,947.03,Shekaari et al. (2012d),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABCPZN,Oc1ccccc1C=NCCCN=Cc1ccccc1O,"N,N'-bis(2-hydroxybenzylidene)-1,3-propanediamine",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
BQkHx,0.0672,0.2224,101,298.15,961.2,Shekaari et al. (2012d),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABCPZN,Oc1ccccc1C=NCCCN=Cc1ccccc1O,"N,N'-bis(2-hydroxybenzylidene)-1,3-propanediamine",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
BQkHx,0.0857,0,101,298.15,947.83,Shekaari et al. (2012d),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABCPZN,Oc1ccccc1C=NCCCN=Cc1ccccc1O,"N,N'-bis(2-hydroxybenzylidene)-1,3-propanediamine",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
BQkHx,0.0862,0.4252,101,298.15,973.43,Shekaari et al. (2012d),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABCPZN,Oc1ccccc1C=NCCCN=Cc1ccccc1O,"N,N'-bis(2-hydroxybenzylidene)-1,3-propanediamine",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
BQkHx,0.0876,0.2224,101,298.15,962.04,Shekaari et al. (2012d),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABCPZN,Oc1ccccc1C=NCCCN=Cc1ccccc1O,"N,N'-bis(2-hydroxybenzylidene)-1,3-propanediamine",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
