setid,"MolaLity of 1-hexadecylpyridinium bromide, mol/kg","Temperature, K","Solvent: MolaLity of L-ascorbic acid, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
oppDG,0.0005,298.15,0,100,996.54,Harutyunyan et al. (2013),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABVwnS,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1-hexadecylpyridinium bromide,AADYJk,O,water
oppDG,0.0005,298.15,0.00089,100,996.58,Harutyunyan et al. (2013),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABVwnS,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1-hexadecylpyridinium bromide,AADYJk,O,water
oppDG,0.0005,298.15,0.00178,100,996.62,Harutyunyan et al. (2013),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABVwnS,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1-hexadecylpyridinium bromide,AADYJk,O,water
oppDG,0.0005,298.15,0.00267,100,996.66,Harutyunyan et al. (2013),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABVwnS,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1-hexadecylpyridinium bromide,AADYJk,O,water
oppDG,0.0005,298.15,0.00356,100,996.7,Harutyunyan et al. (2013),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABVwnS,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1-hexadecylpyridinium bromide,AADYJk,O,water
oppDG,0.0005,298.15,0.00445,100,996.74,Harutyunyan et al. (2013),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABVwnS,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1-hexadecylpyridinium bromide,AADYJk,O,water
oppDG,0.0005,298.15,0.00623,100,996.82,Harutyunyan et al. (2013),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABVwnS,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1-hexadecylpyridinium bromide,AADYJk,O,water
oppDG,0.0005,298.15,0.00712,100,996.86,Harutyunyan et al. (2013),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABVwnS,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1-hexadecylpyridinium bromide,AADYJk,O,water
oppDG,0.0005,303.15,0,100,995.89,Harutyunyan et al. (2013),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABVwnS,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1-hexadecylpyridinium bromide,AADYJk,O,water
oppDG,0.0005,303.15,0.00089,100,995.95,Harutyunyan et al. (2013),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABVwnS,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1-hexadecylpyridinium bromide,AADYJk,O,water
oppDG,0.0005,303.15,0.00178,100,996.01,Harutyunyan et al. (2013),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABVwnS,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1-hexadecylpyridinium bromide,AADYJk,O,water
oppDG,0.0005,303.15,0.00267,100,996.06,Harutyunyan et al. (2013),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABVwnS,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1-hexadecylpyridinium bromide,AADYJk,O,water
oppDG,0.0005,303.15,0.00356,100,996.11,Harutyunyan et al. (2013),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABVwnS,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1-hexadecylpyridinium bromide,AADYJk,O,water
oppDG,0.0005,303.15,0.00445,100,996.17,Harutyunyan et al. (2013),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABVwnS,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1-hexadecylpyridinium bromide,AADYJk,O,water
oppDG,0.0005,303.15,0.00623,100,996.28,Harutyunyan et al. (2013),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABVwnS,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1-hexadecylpyridinium bromide,AADYJk,O,water
oppDG,0.0005,303.15,0.00712,100,996.33,Harutyunyan et al. (2013),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABVwnS,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1-hexadecylpyridinium bromide,AADYJk,O,water
oppDG,0.0005,308.15,0,100,995.18,Harutyunyan et al. (2013),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABVwnS,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1-hexadecylpyridinium bromide,AADYJk,O,water
oppDG,0.0005,308.15,0.00089,100,995.24,Harutyunyan et al. (2013),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABVwnS,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1-hexadecylpyridinium bromide,AADYJk,O,water
oppDG,0.0005,308.15,0.00178,100,995.31,Harutyunyan et al. (2013),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABVwnS,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1-hexadecylpyridinium bromide,AADYJk,O,water
oppDG,0.0005,308.15,0.00267,100,995.38,Harutyunyan et al. (2013),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABVwnS,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1-hexadecylpyridinium bromide,AADYJk,O,water
oppDG,0.0005,308.15,0.00356,100,995.44,Harutyunyan et al. (2013),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABVwnS,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1-hexadecylpyridinium bromide,AADYJk,O,water
oppDG,0.0005,308.15,0.00445,100,995.51,Harutyunyan et al. (2013),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABVwnS,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1-hexadecylpyridinium bromide,AADYJk,O,water
oppDG,0.0005,308.15,0.00623,100,995.65,Harutyunyan et al. (2013),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABVwnS,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1-hexadecylpyridinium bromide,AADYJk,O,water
oppDG,0.0005,308.15,0.00712,100,995.72,Harutyunyan et al. (2013),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABVwnS,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1-hexadecylpyridinium bromide,AADYJk,O,water
oppDG,0.0005,313.15,0,100,994.58,Harutyunyan et al. (2013),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABVwnS,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1-hexadecylpyridinium bromide,AADYJk,O,water
oppDG,0.0005,313.15,0.00089,100,994.64,Harutyunyan et al. (2013),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABVwnS,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1-hexadecylpyridinium bromide,AADYJk,O,water
oppDG,0.0005,313.15,0.00178,100,994.71,Harutyunyan et al. (2013),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABVwnS,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1-hexadecylpyridinium bromide,AADYJk,O,water
oppDG,0.0005,313.15,0.00267,100,994.77,Harutyunyan et al. (2013),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABVwnS,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1-hexadecylpyridinium bromide,AADYJk,O,water
oppDG,0.0005,313.15,0.00356,100,994.83,Harutyunyan et al. (2013),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABVwnS,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1-hexadecylpyridinium bromide,AADYJk,O,water
oppDG,0.0005,313.15,0.00445,100,994.9,Harutyunyan et al. (2013),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABVwnS,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1-hexadecylpyridinium bromide,AADYJk,O,water
oppDG,0.0005,313.15,0.00623,100,995.03,Harutyunyan et al. (2013),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABVwnS,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1-hexadecylpyridinium bromide,AADYJk,O,water
oppDG,0.0005,313.15,0.00712,100,995.1,Harutyunyan et al. (2013),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABVwnS,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1-hexadecylpyridinium bromide,AADYJk,O,water
oppDG,0.05,298.15,0,100,998.25,Harutyunyan et al. (2013),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABVwnS,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1-hexadecylpyridinium bromide,AADYJk,O,water
oppDG,0.05,298.15,0.00089,100,998.3,Harutyunyan et al. (2013),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABVwnS,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1-hexadecylpyridinium bromide,AADYJk,O,water
oppDG,0.05,298.15,0.00178,100,998.35,Harutyunyan et al. (2013),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABVwnS,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1-hexadecylpyridinium bromide,AADYJk,O,water
oppDG,0.05,298.15,0.00267,100,998.4,Harutyunyan et al. (2013),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABVwnS,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1-hexadecylpyridinium bromide,AADYJk,O,water
oppDG,0.05,298.15,0.00356,100,998.45,Harutyunyan et al. (2013),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABVwnS,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1-hexadecylpyridinium bromide,AADYJk,O,water
oppDG,0.05,298.15,0.00445,100,998.5,Harutyunyan et al. (2013),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABVwnS,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1-hexadecylpyridinium bromide,AADYJk,O,water
oppDG,0.05,298.15,0.00623,100,998.59,Harutyunyan et al. (2013),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABVwnS,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1-hexadecylpyridinium bromide,AADYJk,O,water
oppDG,0.05,298.15,0.00712,100,998.64,Harutyunyan et al. (2013),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABVwnS,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1-hexadecylpyridinium bromide,AADYJk,O,water
oppDG,0.05,303.15,0,100,997.33,Harutyunyan et al. (2013),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABVwnS,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1-hexadecylpyridinium bromide,AADYJk,O,water
oppDG,0.05,303.15,0.00089,100,997.37,Harutyunyan et al. (2013),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABVwnS,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1-hexadecylpyridinium bromide,AADYJk,O,water
oppDG,0.05,303.15,0.00178,100,997.41,Harutyunyan et al. (2013),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABVwnS,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1-hexadecylpyridinium bromide,AADYJk,O,water
oppDG,0.05,303.15,0.00267,100,997.45,Harutyunyan et al. (2013),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABVwnS,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1-hexadecylpyridinium bromide,AADYJk,O,water
