setid,"MolaLity of lithium (pentafluoroethanesulfonyl)(trifluoromethanesulfonyl)imide, mol/kg","MolaLity of lithium trifluoromethanesulfonate, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
olRxT,15,5,283,101,1739,Becker et al. (2019),Density,Liquid,ABMqGF,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)F.[Li+],lithium (pentafluoroethanesulfonyl)(trifluoromethanesulfonyl)imide,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,AADYJk,O,water
olRxT,15,5,293,101,1727,Becker et al. (2019),Density,Liquid,ABMqGF,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)F.[Li+],lithium (pentafluoroethanesulfonyl)(trifluoromethanesulfonyl)imide,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,AADYJk,O,water
olRxT,15,5,298.1,101,1721,Becker et al. (2019),Density,Liquid,ABMqGF,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)F.[Li+],lithium (pentafluoroethanesulfonyl)(trifluoromethanesulfonyl)imide,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,AADYJk,O,water
olRxT,15,5,303,101,1715,Becker et al. (2019),Density,Liquid,ABMqGF,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)F.[Li+],lithium (pentafluoroethanesulfonyl)(trifluoromethanesulfonyl)imide,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,AADYJk,O,water
olRxT,15,5,313,101,1702,Becker et al. (2019),Density,Liquid,ABMqGF,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)F.[Li+],lithium (pentafluoroethanesulfonyl)(trifluoromethanesulfonyl)imide,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,AADYJk,O,water
olRxT,15,5,323,101,1690,Becker et al. (2019),Density,Liquid,ABMqGF,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)F.[Li+],lithium (pentafluoroethanesulfonyl)(trifluoromethanesulfonyl)imide,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,AADYJk,O,water
olRxT,15,5,333,101,1678,Becker et al. (2019),Density,Liquid,ABMqGF,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)F.[Li+],lithium (pentafluoroethanesulfonyl)(trifluoromethanesulfonyl)imide,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,AADYJk,O,water
olRxT,19,5,283,101,1770,Becker et al. (2019),Density,Liquid,ABMqGF,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)F.[Li+],lithium (pentafluoroethanesulfonyl)(trifluoromethanesulfonyl)imide,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,AADYJk,O,water
olRxT,19,5,293,101,1757,Becker et al. (2019),Density,Liquid,ABMqGF,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)F.[Li+],lithium (pentafluoroethanesulfonyl)(trifluoromethanesulfonyl)imide,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,AADYJk,O,water
olRxT,19,5,298.1,101,1751,Becker et al. (2019),Density,Liquid,ABMqGF,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)F.[Li+],lithium (pentafluoroethanesulfonyl)(trifluoromethanesulfonyl)imide,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,AADYJk,O,water
