setid,"Temperature, K",Mole fraction of acetone,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
oAjAx,288.15,0,101.3,1381.1,Gonzalez et al. (2012a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
oAjAx,288.15,0.0517,101.3,1375.5,Gonzalez et al. (2012a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
oAjAx,288.15,0.1039,101.3,1368.9,Gonzalez et al. (2012a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
oAjAx,288.15,0.1657,101.3,1360.8,Gonzalez et al. (2012a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
oAjAx,288.15,0.2655,101.3,1345.1,Gonzalez et al. (2012a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
oAjAx,288.15,0.3641,101.3,1325.7,Gonzalez et al. (2012a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
oAjAx,288.15,0.4927,101.3,1293.3,Gonzalez et al. (2012a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
oAjAx,288.15,0.5924,101.3,1258.7,Gonzalez et al. (2012a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
oAjAx,288.15,0.6842,101.3,1216.1,Gonzalez et al. (2012a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
oAjAx,288.15,0.8083,101.3,1127.3,Gonzalez et al. (2012a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
oAjAx,288.15,0.8954,101.3,1025.1,Gonzalez et al. (2012a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
