setid,"Temperature, K","Mole fraction of 1,1-dimethyl-4-phenylpiperazinium iodide","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mCfiP,298.15,0,101,894.4,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
mCfiP,298.15,0.0415,101,908.5,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
mCfiP,298.15,0.0918,101,922.8,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
mCfiP,298.15,0.154,101,937.4,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
mCfiP,298.15,0.2328,101,952.2,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
mCfiP,298.15,0.3358,101,966.4,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
mCfiP,298.15,0.4765,101,980,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
mCfiP,298.15,0.6799,101,993.3,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
mCfiP,298.15,1,101,1006.7,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
mCfiP,303.15,0,101,888.5,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
mCfiP,303.15,0.0415,101,902.9,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
mCfiP,303.15,0.0918,101,917.5,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
mCfiP,303.15,0.154,101,932.3,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
mCfiP,303.15,0.2328,101,947.4,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
mCfiP,303.15,0.3358,101,961.7,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
mCfiP,303.15,0.4765,101,975.6,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
mCfiP,303.15,0.6799,101,989.1,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
mCfiP,303.15,1,101,1002.8,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
mCfiP,308.15,0,101,882.4,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
mCfiP,308.15,0.0415,101,897.1,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
mCfiP,308.15,0.0918,101,912,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
mCfiP,308.15,0.154,101,927.1,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
mCfiP,308.15,0.2328,101,942.5,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
