setid,"MolaLity of 1-octyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
AbRVi,0.0989,298.2,87,997.61,Shekaari et al. (2019b),Density,Liquid,ABZCkl,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCCCn1cc[n+](C)c1,1-octyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AADYJk,O,water,,,
AbRVi,0.2002,298.2,87,998.18,Shekaari et al. (2019b),Density,Liquid,ABZCkl,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCCCn1cc[n+](C)c1,1-octyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AADYJk,O,water,,,
AbRVi,0.2989,298.2,87,998.69,Shekaari et al. (2019b),Density,Liquid,ABZCkl,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCCCn1cc[n+](C)c1,1-octyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AADYJk,O,water,,,
