setid,Mole ratio to solvent: tetrapropylammonium bromide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DPadC,0.2,293.4,101,1137,Jibril et al. (2014),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
DPadC,0.2,303.3,101,1130,Jibril et al. (2014),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
DPadC,0.2,313.3,101,1123,Jibril et al. (2014),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
DPadC,0.2,323.3,101,1116,Jibril et al. (2014),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
DPadC,0.2,333.1,101,1110,Jibril et al. (2014),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
DPadC,0.2,343.1,101,1102,Jibril et al. (2014),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
DPadC,0.2,353.2,101,1097,Jibril et al. (2014),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
DPadC,0.25,293.4,101,1137,Jibril et al. (2014),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
DPadC,0.25,303.5,101,1130,Jibril et al. (2014),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
DPadC,0.25,313.3,101,1123,Jibril et al. (2014),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
DPadC,0.25,323.3,101,1117,Jibril et al. (2014),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
DPadC,0.25,333.3,101,1110,Jibril et al. (2014),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
DPadC,0.25,343.3,101,1103,Jibril et al. (2014),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
DPadC,0.25,353.2,101,1096,Jibril et al. (2014),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
DPadC,0.3333,293.4,101,1139,Jibril et al. (2014),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
DPadC,0.3333,303.4,101,1132,Jibril et al. (2014),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
DPadC,0.3333,313.3,101,1125,Jibril et al. (2014),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
DPadC,0.3333,323.3,101,1119,Jibril et al. (2014),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
DPadC,0.3333,333.3,101,1112,Jibril et al. (2014),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
DPadC,0.3333,343.3,101,1105,Jibril et al. (2014),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
DPadC,0.3333,353.3,101,1098,Jibril et al. (2014),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
