setid,"Temperature, K",Mole fraction of triethyloctylphosphonium 4-nitropyrazolide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PtTIj,283.15,0,100,1373,Fillion and Brennecke (2017),Density,Liquid,ABkmDU,CCCCCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-hexyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ABOCVf,CCCCCCCC[P+](CC)(CC)CC.O=[N+]([O-])c1cn[n-]c1,triethyloctylphosphonium 4-nitropyrazolide,,,
PtTIj,283.15,0.124,100,1332,Fillion and Brennecke (2017),Density,Liquid,ABkmDU,CCCCCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-hexyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ABOCVf,CCCCCCCC[P+](CC)(CC)CC.O=[N+]([O-])c1cn[n-]c1,triethyloctylphosphonium 4-nitropyrazolide,,,
PtTIj,283.15,0.25,100,1290,Fillion and Brennecke (2017),Density,Liquid,ABkmDU,CCCCCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-hexyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ABOCVf,CCCCCCCC[P+](CC)(CC)CC.O=[N+]([O-])c1cn[n-]c1,triethyloctylphosphonium 4-nitropyrazolide,,,
PtTIj,283.15,0.5,100,1207,Fillion and Brennecke (2017),Density,Liquid,ABkmDU,CCCCCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-hexyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ABOCVf,CCCCCCCC[P+](CC)(CC)CC.O=[N+]([O-])c1cn[n-]c1,triethyloctylphosphonium 4-nitropyrazolide,,,
PtTIj,283.15,0.751,100,1124,Fillion and Brennecke (2017),Density,Liquid,ABkmDU,CCCCCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-hexyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ABOCVf,CCCCCCCC[P+](CC)(CC)CC.O=[N+]([O-])c1cn[n-]c1,triethyloctylphosphonium 4-nitropyrazolide,,,
PtTIj,283.15,0.9,100,1074,Fillion and Brennecke (2017),Density,Liquid,ABkmDU,CCCCCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-hexyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ABOCVf,CCCCCCCC[P+](CC)(CC)CC.O=[N+]([O-])c1cn[n-]c1,triethyloctylphosphonium 4-nitropyrazolide,,,
PtTIj,283.15,1,100,1041,Fillion and Brennecke (2017),Density,Liquid,ABkmDU,CCCCCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-hexyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ABOCVf,CCCCCCCC[P+](CC)(CC)CC.O=[N+]([O-])c1cn[n-]c1,triethyloctylphosphonium 4-nitropyrazolide,,,
PtTIj,288.15,0,100,1368,Fillion and Brennecke (2017),Density,Liquid,ABkmDU,CCCCCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-hexyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ABOCVf,CCCCCCCC[P+](CC)(CC)CC.O=[N+]([O-])c1cn[n-]c1,triethyloctylphosphonium 4-nitropyrazolide,,,
PtTIj,288.15,0.124,100,1327,Fillion and Brennecke (2017),Density,Liquid,ABkmDU,CCCCCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-hexyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ABOCVf,CCCCCCCC[P+](CC)(CC)CC.O=[N+]([O-])c1cn[n-]c1,triethyloctylphosphonium 4-nitropyrazolide,,,
PtTIj,288.15,0.25,100,1286,Fillion and Brennecke (2017),Density,Liquid,ABkmDU,CCCCCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-hexyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",ABOCVf,CCCCCCCC[P+](CC)(CC)CC.O=[N+]([O-])c1cn[n-]c1,triethyloctylphosphonium 4-nitropyrazolide,,,
