setid,Mole fraction of 1-butyl-3-methylimidazolium tetrafluoroborate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FEklr,0,298.15,101.325,799.9,Wang et al. (2003),Density,Liquid,AANtck,CCC(C)=O,butanone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
FEklr,0.0498,298.15,101.325,846.5,Wang et al. (2003),Density,Liquid,AANtck,CCC(C)=O,butanone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
FEklr,0.1026,298.15,101.325,888.6,Wang et al. (2003),Density,Liquid,AANtck,CCC(C)=O,butanone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
FEklr,0.1863,298.15,101.325,945.1,Wang et al. (2003),Density,Liquid,AANtck,CCC(C)=O,butanone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
FEklr,0.3005,298.15,101.325,1007.1,Wang et al. (2003),Density,Liquid,AANtck,CCC(C)=O,butanone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
FEklr,0.3455,298.15,101.325,1027.8,Wang et al. (2003),Density,Liquid,AANtck,CCC(C)=O,butanone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
FEklr,0.3938,298.15,101.325,1048.1,Wang et al. (2003),Density,Liquid,AANtck,CCC(C)=O,butanone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
FEklr,0.4479,298.15,101.325,1068.8,Wang et al. (2003),Density,Liquid,AANtck,CCC(C)=O,butanone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
FEklr,0.5,298.15,101.325,1086.8,Wang et al. (2003),Density,Liquid,AANtck,CCC(C)=O,butanone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
FEklr,0.5505,298.15,101.325,1102.8,Wang et al. (2003),Density,Liquid,AANtck,CCC(C)=O,butanone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
FEklr,0.6031,298.15,101.325,1118.2,Wang et al. (2003),Density,Liquid,AANtck,CCC(C)=O,butanone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
FEklr,0.6893,298.15,101.325,1140,Wang et al. (2003),Density,Liquid,AANtck,CCC(C)=O,butanone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
FEklr,0.7996,298.15,101.325,1168.5,Wang et al. (2003),Density,Liquid,AANtck,CCC(C)=O,butanone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
FEklr,0.8995,298.15,101.325,1191,Wang et al. (2003),Density,Liquid,AANtck,CCC(C)=O,butanone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
FEklr,1,298.15,101.325,1211,Wang et al. (2003),Density,Liquid,AANtck,CCC(C)=O,butanone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
