setid,Mole fraction of propan-1-ol,Mole fraction of water,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZJXKH,0.0375,0.9551,298.15,101,997.3,Gonzalez et al. (2008c),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
ZJXKH,0.0384,0.946,298.15,101,1014,Gonzalez et al. (2008c),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
ZJXKH,0.0422,0.929,298.15,101,1036.1,Gonzalez et al. (2008c),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
ZJXKH,0.0474,0.9071,298.15,101,1057.7,Gonzalez et al. (2008c),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
ZJXKH,0.0559,0.8764,298.15,101,1079.2,Gonzalez et al. (2008c),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
ZJXKH,0.0662,0.8408,298.15,101,1097,Gonzalez et al. (2008c),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
ZJXKH,0.0813,0.9039,298.15,101,993,Gonzalez et al. (2008c),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
ZJXKH,0.0826,0.782,298.15,101,1118,Gonzalez et al. (2008c),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
ZJXKH,0.0901,0.8825,298.15,101,1010.8,Gonzalez et al. (2008c),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
ZJXKH,0.0961,0.1388,298.15,101,1215.3,Gonzalez et al. (2008c),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
ZJXKH,0.0962,0.4557,298.15,101,1192.4,Gonzalez et al. (2008c),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
ZJXKH,0.0981,0.2695,298.15,101,1207.8,Gonzalez et al. (2008c),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
ZJXKH,0.1023,0.8549,298.15,101,1027.8,Gonzalez et al. (2008c),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
