setid,"Temperature, K",Mole fraction of 1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
YqDhU,288.15,0,100,789.2,Fang et al. (2019b),Density,Liquid,ABGawV,CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,
YqDhU,288.15,0.0997,100,929.2,Fang et al. (2019b),Density,Liquid,ABGawV,CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,
YqDhU,288.15,0.2004,100,1030.7,Fang et al. (2019b),Density,Liquid,ABGawV,CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,
YqDhU,288.15,0.3004,100,1106,Fang et al. (2019b),Density,Liquid,ABGawV,CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,
YqDhU,288.15,0.4003,100,1163.8,Fang et al. (2019b),Density,Liquid,ABGawV,CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,
YqDhU,288.15,0.5004,100,1210.2,Fang et al. (2019b),Density,Liquid,ABGawV,CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,
YqDhU,288.15,0.6008,100,1248.3,Fang et al. (2019b),Density,Liquid,ABGawV,CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,
YqDhU,288.15,0.7,100,1279.5,Fang et al. (2019b),Density,Liquid,ABGawV,CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,
YqDhU,288.15,0.7998,100,1306.1,Fang et al. (2019b),Density,Liquid,ABGawV,CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,
YqDhU,288.15,0.9003,100,1329.3,Fang et al. (2019b),Density,Liquid,ABGawV,CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,
