setid,"Temperature, K","MolaLity of 1,3-dimethylimidazolium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kYNeR,278.15,0.00529,101.3,1136.37,Vranes et al. (2023),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
kYNeR,278.15,0.00996,101.3,1136.54,Vranes et al. (2023),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
kYNeR,278.15,0.01938,101.3,1136.86,Vranes et al. (2023),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
kYNeR,278.15,0.02978,101.3,1137.16,Vranes et al. (2023),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
kYNeR,278.15,0.0406,101.3,1137.4,Vranes et al. (2023),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
kYNeR,278.15,0.04958,101.3,1137.6,Vranes et al. (2023),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
kYNeR,278.15,0.06035,101.3,1137.76,Vranes et al. (2023),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
kYNeR,278.15,0.07529,101.3,1137.98,Vranes et al. (2023),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
kYNeR,278.15,0.09685,101.3,1138.19,Vranes et al. (2023),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
kYNeR,283.15,0.00529,101.3,1132.36,Vranes et al. (2023),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
kYNeR,283.15,0.00996,101.3,1132.54,Vranes et al. (2023),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
