setid,"Temperature, K","MolaLity of N-benzyl-N,N-dimethyldecan-1-aminium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
RWfXd,288.15,0.0065,101.325,999.38,Gonzalez-Perez et al. (2003),Density,Liquid,AADYJk,O,water,ABQbdA,CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],"N-benzyl-N,N-dimethyldecan-1-aminium bromide",,,
RWfXd,288.15,0.007,101.325,999.399,Gonzalez-Perez et al. (2003),Density,Liquid,AADYJk,O,water,ABQbdA,CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],"N-benzyl-N,N-dimethyldecan-1-aminium bromide",,,
RWfXd,288.15,0.0105,101.325,999.55,Gonzalez-Perez et al. (2003),Density,Liquid,AADYJk,O,water,ABQbdA,CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],"N-benzyl-N,N-dimethyldecan-1-aminium bromide",,,
RWfXd,288.15,0.0148,101.325,999.728,Gonzalez-Perez et al. (2003),Density,Liquid,AADYJk,O,water,ABQbdA,CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],"N-benzyl-N,N-dimethyldecan-1-aminium bromide",,,
RWfXd,288.15,0.0168,101.325,999.812,Gonzalez-Perez et al. (2003),Density,Liquid,AADYJk,O,water,ABQbdA,CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],"N-benzyl-N,N-dimethyldecan-1-aminium bromide",,,
RWfXd,288.15,0.0206,101.325,999.97,Gonzalez-Perez et al. (2003),Density,Liquid,AADYJk,O,water,ABQbdA,CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],"N-benzyl-N,N-dimethyldecan-1-aminium bromide",,,
RWfXd,288.15,0.0224,101.325,1000.04,Gonzalez-Perez et al. (2003),Density,Liquid,AADYJk,O,water,ABQbdA,CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],"N-benzyl-N,N-dimethyldecan-1-aminium bromide",,,
RWfXd,288.15,0.0277,101.325,1000.25,Gonzalez-Perez et al. (2003),Density,Liquid,AADYJk,O,water,ABQbdA,CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],"N-benzyl-N,N-dimethyldecan-1-aminium bromide",,,
RWfXd,288.15,0.0355,101.325,1000.54,Gonzalez-Perez et al. (2003),Density,Liquid,AADYJk,O,water,ABQbdA,CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],"N-benzyl-N,N-dimethyldecan-1-aminium bromide",,,
RWfXd,288.15,0.0447,101.325,1000.85,Gonzalez-Perez et al. (2003),Density,Liquid,AADYJk,O,water,ABQbdA,CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],"N-benzyl-N,N-dimethyldecan-1-aminium bromide",,,
RWfXd,288.15,0.0538,101.325,1001.17,Gonzalez-Perez et al. (2003),Density,Liquid,AADYJk,O,water,ABQbdA,CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],"N-benzyl-N,N-dimethyldecan-1-aminium bromide",,,
RWfXd,288.15,0.0563,101.325,1001.25,Gonzalez-Perez et al. (2003),Density,Liquid,AADYJk,O,water,ABQbdA,CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],"N-benzyl-N,N-dimethyldecan-1-aminium bromide",,,
RWfXd,288.15,0.071,101.325,1001.76,Gonzalez-Perez et al. (2003),Density,Liquid,AADYJk,O,water,ABQbdA,CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],"N-benzyl-N,N-dimethyldecan-1-aminium bromide",,,
RWfXd,288.15,0.1593,101.325,1004.77,Gonzalez-Perez et al. (2003),Density,Liquid,AADYJk,O,water,ABQbdA,CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],"N-benzyl-N,N-dimethyldecan-1-aminium bromide",,,
