setid,"MolaLity of 1-butyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
CBhfg,0,101,298.15,810.95,Wang et al. (2015),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
CBhfg,0.0128,101,298.15,812.06,Wang et al. (2015),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
CBhfg,0.0311,101,298.15,813.36,Wang et al. (2015),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
CBhfg,0.0479,101,298.15,814.53,Wang et al. (2015),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
CBhfg,0.0967,101,298.15,817.89,Wang et al. (2015),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
CBhfg,0.1367,101,298.15,820.62,Wang et al. (2015),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
CBhfg,0.1545,101,298.15,821.79,Wang et al. (2015),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
CBhfg,0.1906,101,298.15,824.19,Wang et al. (2015),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
CBhfg,0.2311,101,298.15,826.83,Wang et al. (2015),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
CBhfg,0.31,101,298.15,831.91,Wang et al. (2015),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
CBhfg,0.3924,101,298.15,837.08,Wang et al. (2015),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
CBhfg,0.4911,101,298.15,843.08,Wang et al. (2015),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
CBhfg,0.576,101,298.15,848.13,Wang et al. (2015),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
