setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium L-lactate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
bXITv,298.15,0,101,786.4,Jiang et al. (2013),Density,Liquid,AAGIBL,CO,methanol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
bXITv,298.15,0.0998,101,960.5,Jiang et al. (2013),Density,Liquid,AAGIBL,CO,methanol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
bXITv,298.15,0.1968,101,1022.4,Jiang et al. (2013),Density,Liquid,AAGIBL,CO,methanol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
bXITv,298.15,0.3,101,1063.1,Jiang et al. (2013),Density,Liquid,AAGIBL,CO,methanol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
bXITv,298.15,0.3999,101,1075.9,Jiang et al. (2013),Density,Liquid,AAGIBL,CO,methanol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
bXITv,298.15,0.5,101,1082.9,Jiang et al. (2013),Density,Liquid,AAGIBL,CO,methanol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
bXITv,298.15,0.5996,101,1088,Jiang et al. (2013),Density,Liquid,AAGIBL,CO,methanol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
bXITv,298.15,0.7001,101,1090.5,Jiang et al. (2013),Density,Liquid,AAGIBL,CO,methanol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
bXITv,298.15,0.8002,101,1091.5,Jiang et al. (2013),Density,Liquid,AAGIBL,CO,methanol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
bXITv,298.15,0.8988,101,1097.8,Jiang et al. (2013),Density,Liquid,AAGIBL,CO,methanol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
