setid,"Solvent: MolaLity of 1-butyl-3-methylimidazolium chloride, mol/kg","Temperature, K","MolaLity of glycylglycine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JrJIQ,0.1,298.15,0.151,101,1006.62,Gaba et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
JrJIQ,0.1,298.15,0.1996,101,1009.21,Gaba et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
JrJIQ,0.1,298.15,0.2481,101,1011.78,Gaba et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
JrJIQ,0.1,298.15,0.3008,101,1014.54,Gaba et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
JrJIQ,0.1,308.15,0,101,995.3,Gaba et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
JrJIQ,0.1,308.15,0.0465,101,997.81,Gaba et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
JrJIQ,0.1,308.15,0.1004,101,1000.7,Gaba et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
JrJIQ,0.1,308.15,0.151,101,1003.38,Gaba et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
JrJIQ,0.1,308.15,0.1996,101,1005.94,Gaba et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
JrJIQ,0.1,308.15,0.2481,101,1008.46,Gaba et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
JrJIQ,0.1,308.15,0.3008,101,1011.19,Gaba et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
JrJIQ,0.3,288.15,0,101,1003.21,Gaba et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
JrJIQ,0.3,288.15,0.0465,101,1005.76,Gaba et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
JrJIQ,0.3,288.15,0.1005,101,1008.73,Gaba et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
JrJIQ,0.3,288.15,0.1506,101,1011.46,Gaba et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
JrJIQ,0.3,288.15,0.2007,101,1014.2,Gaba et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
JrJIQ,0.3,288.15,0.2505,101,1016.9,Gaba et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
JrJIQ,0.3,288.15,0.3006,101,1019.61,Gaba et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
JrJIQ,0.3,298.15,0,101,1000.79,Gaba et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
JrJIQ,0.3,298.15,0.0465,101,1003.31,Gaba et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
JrJIQ,0.3,298.15,0.1005,101,1006.22,Gaba et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
JrJIQ,0.3,298.15,0.1506,101,1008.91,Gaba et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
JrJIQ,0.3,298.15,0.2007,101,1011.59,Gaba et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
JrJIQ,0.3,298.15,0.2505,101,1014.25,Gaba et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
JrJIQ,0.3,298.15,0.3006,101,1016.9,Gaba et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
JrJIQ,0.3,308.15,0,101,997.5,Gaba et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
JrJIQ,0.3,308.15,0.0465,101,999.98,Gaba et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
JrJIQ,0.3,308.15,0.1005,101,1002.86,Gaba et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
JrJIQ,0.3,308.15,0.1506,101,1005.51,Gaba et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
JrJIQ,0.3,308.15,0.2007,101,1008.15,Gaba et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
JrJIQ,0.3,308.15,0.2505,101,1010.78,Gaba et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
JrJIQ,0.3,308.15,0.3006,101,1013.4,Gaba et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
