setid,"Temperature, K","MolaRity of 1-hexyl-3-methylimidazolium chloride, mol/dm3","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
AlADF,293.2,0,101,866.83,Asadabadi et al. (2013),Density,Liquid mixture 2,Liquid mixture 1,,70,AARlpN,Cc1ccccc1,toluene,AADYJk,O,water
AlADF,293.2,0.0001,101,866.83,Asadabadi et al. (2013),Density,Liquid mixture 2,Liquid mixture 1,,70,AARlpN,Cc1ccccc1,toluene,AADYJk,O,water
AlADF,293.2,0.00025,101,866.84,Asadabadi et al. (2013),Density,Liquid mixture 2,Liquid mixture 1,,70,AARlpN,Cc1ccccc1,toluene,AADYJk,O,water
AlADF,293.2,0.0005,101,866.84,Asadabadi et al. (2013),Density,Liquid mixture 2,Liquid mixture 1,,70,AARlpN,Cc1ccccc1,toluene,AADYJk,O,water
AlADF,293.2,0.001,101,866.84,Asadabadi et al. (2013),Density,Liquid mixture 2,Liquid mixture 1,,70,AARlpN,Cc1ccccc1,toluene,AADYJk,O,water
AlADF,293.2,0.0025,101,866.84,Asadabadi et al. (2013),Density,Liquid mixture 2,Liquid mixture 1,,70,AARlpN,Cc1ccccc1,toluene,AADYJk,O,water
AlADF,293.2,0.01,101,866.85,Asadabadi et al. (2013),Density,Liquid mixture 2,Liquid mixture 1,,70,AARlpN,Cc1ccccc1,toluene,AADYJk,O,water
AlADF,293.2,0.03,101,866.85,Asadabadi et al. (2013),Density,Liquid mixture 2,Liquid mixture 1,,70,AARlpN,Cc1ccccc1,toluene,AADYJk,O,water
AlADF,293.2,0.08,101,866.85,Asadabadi et al. (2013),Density,Liquid mixture 2,Liquid mixture 1,,70,AARlpN,Cc1ccccc1,toluene,AADYJk,O,water
AlADF,293.2,0.2,101,866.85,Asadabadi et al. (2013),Density,Liquid mixture 2,Liquid mixture 1,,70,AARlpN,Cc1ccccc1,toluene,AADYJk,O,water
AlADF,293.2,0.3,101,866.85,Asadabadi et al. (2013),Density,Liquid mixture 2,Liquid mixture 1,,70,AARlpN,Cc1ccccc1,toluene,AADYJk,O,water
AlADF,293.2,0.4,101,866.85,Asadabadi et al. (2013),Density,Liquid mixture 2,Liquid mixture 1,,70,AARlpN,Cc1ccccc1,toluene,AADYJk,O,water
AlADF,293.2,0.5,101,866.85,Asadabadi et al. (2013),Density,Liquid mixture 2,Liquid mixture 1,,70,AARlpN,Cc1ccccc1,toluene,AADYJk,O,water
AlADF,293.2,0.6,101,866.85,Asadabadi et al. (2013),Density,Liquid mixture 2,Liquid mixture 1,,70,AARlpN,Cc1ccccc1,toluene,AADYJk,O,water
AlADF,298.2,0,101,862.18,Asadabadi et al. (2013),Density,Liquid mixture 2,Liquid mixture 1,,70,AARlpN,Cc1ccccc1,toluene,AADYJk,O,water
AlADF,298.2,0.0001,101,862.18,Asadabadi et al. (2013),Density,Liquid mixture 2,Liquid mixture 1,,70,AARlpN,Cc1ccccc1,toluene,AADYJk,O,water
AlADF,298.2,0.00025,101,862.18,Asadabadi et al. (2013),Density,Liquid mixture 2,Liquid mixture 1,,70,AARlpN,Cc1ccccc1,toluene,AADYJk,O,water
AlADF,298.2,0.0005,101,862.18,Asadabadi et al. (2013),Density,Liquid mixture 2,Liquid mixture 1,,70,AARlpN,Cc1ccccc1,toluene,AADYJk,O,water
AlADF,298.2,0.001,101,862.18,Asadabadi et al. (2013),Density,Liquid mixture 2,Liquid mixture 1,,70,AARlpN,Cc1ccccc1,toluene,AADYJk,O,water
AlADF,298.2,0.0025,101,862.18,Asadabadi et al. (2013),Density,Liquid mixture 2,Liquid mixture 1,,70,AARlpN,Cc1ccccc1,toluene,AADYJk,O,water
