setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium ethyl sulfate,Mole fraction of acetic acid,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JePZu,293.15,0.068,0.5284,100,1014.7,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,293.15,0.1009,0.2975,100,994.5,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,293.15,0.1038,0.7936,100,1095.6,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,293.15,0.1126,0.2205,100,989.1,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,293.15,0.129,0.1085,100,981.1,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,293.15,0.1672,0.3906,100,1061.7,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,293.15,0.2108,0.7759,100,1148.6,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,293.15,0.2126,0.2277,100,1061.9,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,293.15,0.2309,0.5332,100,1119.6,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,293.15,0.2325,0.1539,100,1062,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,293.15,0.3114,0.3618,100,1130,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,293.15,0.345,0.5414,100,1164.3,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,293.15,0.3492,0.6287,100,1174.6,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,293.15,0.356,0.2933,100,1138.1,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,293.15,0.398,0.1998,100,1141.9,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,293.15,0.4538,0.0964,100,1148.2,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,293.15,0.4835,0.3567,100,1183.2,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,293.15,0.4887,0.4803,100,1197.1,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,293.15,0.5604,0.2535,100,1189.9,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,293.15,0.6002,0.3617,100,1209.1,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,293.15,0.6545,0.1295,100,1198.2,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,293.15,0.7078,0.0525,100,1202.4,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,293.15,0.7287,0.2257,100,1219.8,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,293.15,0.8075,0.1402,100,1225,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,293.15,0.8825,0.0606,100,1229.4,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,298.15,0.068,0.5284,100,1009.8,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,298.15,0.1009,0.2975,100,989.9,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,298.15,0.1038,0.7936,100,1090.9,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,298.15,0.1126,0.2205,100,984.5,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,298.15,0.129,0.1085,100,976.5,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,298.15,0.1672,0.3906,100,1057.4,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,298.15,0.2108,0.7759,100,1144.4,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,298.15,0.2126,0.2277,100,1057.7,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,298.15,0.2309,0.5332,100,1115.4,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,298.15,0.2325,0.1539,100,1057.8,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,298.15,0.3114,0.3618,100,1126,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,298.15,0.345,0.5414,100,1160.5,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
