setid,"MolaLity of N,N,N-trimethyl-1-decanaminium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lKEXM,0.03666,101,298,0.871,De Lisi et al. (1989a),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
lKEXM,0.05981,101,298,1.41,De Lisi et al. (1989a),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
lKEXM,0.06217,101,298,1.464,De Lisi et al. (1989a),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
lKEXM,0.0787,101,298,1.789,De Lisi et al. (1989a),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
lKEXM,0.09996,101,298,2.182,De Lisi et al. (1989a),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
lKEXM,0.1,101,298,2.237,De Lisi et al. (1989a),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
lKEXM,0.1197,101,298,2.496,De Lisi et al. (1989a),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
lKEXM,0.1243,101,298,2.598,De Lisi et al. (1989a),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
lKEXM,0.1311,101,298,2.725,De Lisi et al. (1989a),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
lKEXM,0.15,101,298,3.064,De Lisi et al. (1989a),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
