setid,"Temperature, K","MolaLity of 1-octyl-4-methylpyridinium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XaBkL,288.15,0,100,999.097,Mehrdad and Parvini (2019),Density,Liquid,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water,,,
XaBkL,288.15,0.0011,100,999.141,Mehrdad and Parvini (2019),Density,Liquid,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water,,,
XaBkL,288.15,0.0018,100,999.186,Mehrdad and Parvini (2019),Density,Liquid,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water,,,
XaBkL,288.15,0.0021,100,999.196,Mehrdad and Parvini (2019),Density,Liquid,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water,,,
XaBkL,288.15,0.0036,100,999.266,Mehrdad and Parvini (2019),Density,Liquid,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water,,,
XaBkL,288.15,0.0043,100,999.3,Mehrdad and Parvini (2019),Density,Liquid,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water,,,
XaBkL,288.15,0.0065,100,999.402,Mehrdad and Parvini (2019),Density,Liquid,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water,,,
XaBkL,298.15,0,100,997.043,Mehrdad and Parvini (2019),Density,Liquid,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water,,,
XaBkL,298.15,0.0011,100,997.088,Mehrdad and Parvini (2019),Density,Liquid,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water,,,
XaBkL,298.15,0.0018,100,997.125,Mehrdad and Parvini (2019),Density,Liquid,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water,,,
XaBkL,298.15,0.0021,100,997.135,Mehrdad and Parvini (2019),Density,Liquid,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water,,,
XaBkL,298.15,0.0036,100,997.199,Mehrdad and Parvini (2019),Density,Liquid,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water,,,
XaBkL,298.15,0.0043,100,997.233,Mehrdad and Parvini (2019),Density,Liquid,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water,,,
XaBkL,298.15,0.0065,100,997.329,Mehrdad and Parvini (2019),Density,Liquid,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water,,,
XaBkL,308.15,0,100,994.038,Mehrdad and Parvini (2019),Density,Liquid,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water,,,
XaBkL,308.15,0.0011,100,994.07,Mehrdad and Parvini (2019),Density,Liquid,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water,,,
XaBkL,308.15,0.0018,100,994.101,Mehrdad and Parvini (2019),Density,Liquid,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water,,,
XaBkL,308.15,0.0021,100,994.115,Mehrdad and Parvini (2019),Density,Liquid,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water,,,
XaBkL,308.15,0.0036,100,994.174,Mehrdad and Parvini (2019),Density,Liquid,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water,,,
XaBkL,308.15,0.0043,100,994.42,Mehrdad and Parvini (2019),Density,Liquid,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water,,,
XaBkL,308.15,0.0065,100,994.283,Mehrdad and Parvini (2019),Density,Liquid,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water,,,
