setid,"Temperature, K","MolaLity of 1-butyl-2,3-dimethylimidazolium chloride, mol/kg","Solvent: MolaLity of tetrabutylammonium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
tTIdv,298.15,0,0,100,997.06,Sailaja et al. (2020),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",ABJzYu,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],tetrabutylammonium bromide,AADYJk,O,water
tTIdv,298.15,0,0.0126,100,997.334,Sailaja et al. (2020),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",ABJzYu,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],tetrabutylammonium bromide,AADYJk,O,water
tTIdv,298.15,0,0.0253,100,997.625,Sailaja et al. (2020),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",ABJzYu,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],tetrabutylammonium bromide,AADYJk,O,water
tTIdv,298.15,0,0.0509,100,998.142,Sailaja et al. (2020),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",ABJzYu,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],tetrabutylammonium bromide,AADYJk,O,water
tTIdv,298.15,0.001,0,100,997.078,Sailaja et al. (2020),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",ABJzYu,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],tetrabutylammonium bromide,AADYJk,O,water
tTIdv,298.15,0.001,0.0126,100,997.344,Sailaja et al. (2020),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",ABJzYu,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],tetrabutylammonium bromide,AADYJk,O,water
tTIdv,298.15,0.001,0.0253,100,997.635,Sailaja et al. (2020),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",ABJzYu,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],tetrabutylammonium bromide,AADYJk,O,water
tTIdv,298.15,0.001,0.0509,100,998.148,Sailaja et al. (2020),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",ABJzYu,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],tetrabutylammonium bromide,AADYJk,O,water
tTIdv,298.15,0.00502,0,100,997.148,Sailaja et al. (2020),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",ABJzYu,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],tetrabutylammonium bromide,AADYJk,O,water
tTIdv,298.15,0.00502,0.0126,100,997.382,Sailaja et al. (2020),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",ABJzYu,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],tetrabutylammonium bromide,AADYJk,O,water
